"","D","E","F","G","H"
"1","0.067","0.885","0.729","1.525","0.983"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.535(0.221)","0.865(0.341)","0.783(0.139)","1.132(0.214)","0.897(0.117)"
"5","0.144(0.181)","0.899(0.253)","0.751(0.122)","1.529(0.175)","1.007(0.104)"
"6",NA,NA,"0.74(0.227)",NA,"0.856(0.206)"
"7",NA,NA,"0.688(0.227)",NA,"0.737(0.228)"
"8","-0.002(0.587)",NA,"0.714(0.433)","1.613(0.591)","0.897(0.367)"
"9","-0.006(0.609)",NA,"0.709(0.393)","1.571(0.608)","0.936(0.332)"
