"","D","E","F","G","H"
"1","-2.509","0.863","0.717","3.146","0.949"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.434(0.448)","NaN(NA)","0.737(0.104)","1.859(0.343)","0.881(0.1)"
"5","-2.49(0.305)","0.846(NA)","0.72(0.094)","3.2(0.253)","0.98(0.09)"
"6",NA,NA,"0.776(0.196)",NA,"0.862(0.178)"
"7",NA,NA,"0.717(0.193)",NA,"0.779(0.189)"
"8","-2.364(1.272)",NA,"0.751(0.355)","3.014(1.071)","0.639(0.359)"
"9","-2.465(NA)",NA,"0.75(0.334)","3.034(1.268)","1.012(0.341)"
