"","Sim","trued_01","trued_11","trued_00","trued_10","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,0.785205479452055,1.54130434782609,0.64160621761658,1.21840909090909,0.916396994588399,0.353072475398256,1.34856115107914,0.432164156490738,0.273015075310107,0.272708666415669,0.57744366423905,0.380295318067902,1.34856115107914,0.771117486840087,0.273015075310107,0.274144655311612,0.807361893884974,0.386283046882413,1.39386721449317,0.586505320608192,0.27807986716633,0.288520806354876,0.486020120362424,0.388151762839791,1.40875246190186,0.922732341539437,0.28585440561881,0.283124006768732
"2",2,0.00717054263565892,1.119296875,0.672654545454546,1.37007575757576,0.732227820720632,0.206260741571347,1.77446428571429,1.04223646499365,0.166579390243502,0.153803339667745,0.480837310248662,0.238415668228916,1.77446428571429,1.29362697546562,0.166579390243502,0.185374601881534,0.741916463139182,0.229451097960806,1.94122326626726,1.19930680312808,0.176220866439269,0.1616899891311,0.480837117317613,0.229189554311956,1.88829693325899,1.40745981594137,0.173326964041758,0.163253011380187
"3",3,-0.0267338709677419,0.699312977099237,1.04775862068966,1.10211618257261,0.698856110278182,0.193296304900159,1.45813559322034,0.759279482942157,0.154984727781668,0.148536843567721,0.529197281885623,0.220015309656641,1.45813559322034,0.928938311334716,0.154984727781668,0.164399270307468,0.612834459858772,0.212685097562233,1.54247605223585,0.929641592377083,0.161320486756466,0.155796432398463,0.482084931641435,0.219294933163612,1.58598263362802,1.10389770198659,0.160626323460398,0.160908061760219
"4",4,0.48136,0.628211382113821,0.583386809269162,1.72477443609023,0.904882913354036,0.200681937323484,1.64641277641278,0.741529863058741,0.151564992276384,0.150275641499948,0.802185272252157,0.215054856064977,1.64641277641278,0.844227504160619,0.151564992276384,0.159384446310699,0.770017658346537,0.218247806445101,1.60506346897964,0.835045810633101,0.160764793254226,0.156856114779886,0.721382289544995,0.217576819653473,1.71073827147536,0.989355981930366,0.156771836824824,0.159620786904542
"5",5,0.201888412017167,0.53888,0.908817391304348,1.24520599250936,0.79532927929945,0.19504713987775,1.69241217798595,0.897082898686498,0.156089048670504,0.148674870251242,1.00046481119598,0.215295195428123,1.69241217798595,0.691947366789968,0.156089048670504,0.152733667848018,0.521498408937413,0.219295738727145,1.52961378123507,1.00811537229766,0.162210863277849,0.158907498487824,0.958775349310424,0.21855660850515,1.78223876938138,0.823463420070955,0.161350884510807,0.157963483450055
"6",6,-0.109277108433735,0.866694214876033,0.649021352313167,1.61089552238806,0.907391399199136,0.201043636433621,1.74691358024691,0.839522181047778,0.162520479637218,0.158151720644052,0.722902257341275,0.232357516211677,1.74691358024691,1.02401132290564,0.162520479637218,0.174913085506421,0.629953470640561,0.2216177306718,1.69395919383099,1.06400572319043,0.158625026052401,0.168058077477976,0.731348566954255,0.222771855975028,1.88822516279966,1.1568765958454,0.16902927253543,0.157058028193233
"7",7,0.148065843621399,1.05924369747899,0.559449378330373,1.8188,0.944191087462862,0.198043254664819,1.94359523809524,0.999404150632376,0.153986241181506,0.147764740037997,0.787609854910604,0.217713752480385,1.94359523809524,1.15598538318463,0.153986241181506,0.166827563260233,0.853310825863624,0.214027056710089,1.98090918814788,1.12759836228426,0.159057400652579,0.154256937637886,0.739900892817369,0.21425153184934,2.03454142593847,1.2946405331211,0.157904185179603,0.153289806411574
"8",8,-0.18352380952381,1.03709923664122,0.847956081081081,1.49479400749064,0.839017371322152,0.197806119239906,1.68706018518518,0.848042813863033,0.147510178102572,0.152227272138322,0.881015007708948,0.20575814774166,1.68706018518518,0.806045177476237,0.147510178102572,0.150264112889127,0.639817455411232,0.212483317466957,1.56537513267869,0.925557677267455,0.154294322084393,0.158826969375498,0.796408811392375,0.213357901505719,1.75338473257692,0.956975921184549,0.153121227196893,0.15678938269703
"9",9,0.219906976744186,0.557372881355932,0.725892857142857,1.31067729083665,0.903114079723898,0.192492729842038,1.8584703196347,0.955356239910805,0.150591384575026,0.14529661898485,0.836704691585413,0.210402812029731,1.8584703196347,1.02176562804929,0.150591384575026,0.157666721991342,0.798933246572884,0.211986118918489,1.85928285251011,1.06034960593722,0.157233563244296,0.151631004971703,0.762607458000371,0.212012522904077,1.93495658766275,1.17234912966238,0.156672974871379,0.151318886925688
"10",10,-0.0625555555555556,1.0512037037037,0.615840707964602,1.54704280155642,0.700142463267816,0.202211928338687,1.63496259351621,0.934820130248394,0.155055411667,0.158582378925261,0.455542268363709,0.23488286454578,1.63496259351621,1.1794203251525,0.155055411667,0.187477483616826,0.667405950171028,0.225015795232084,1.78994185967413,1.1225359095031,0.162618676294761,0.166585978805223,0.457799128982164,0.223678537821862,1.76200889556333,1.30420976658117,0.16051429747463,0.166057913443161
