"","D","E","F","G","H"
"1","-2.129","0.452","0.677","2.837","1.172"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.581(0.265)","0.52(0.537)","0.719(0.121)","1.8(0.21)","1.029(0.106)"
"5","-2.051(0.209)","0.415(0.344)","0.73(0.108)","2.826(0.173)","1.265(0.095)"
"6",NA,NA,"0.802(0.205)",NA,"0.987(0.187)"
"7",NA,NA,"0.698(0.203)",NA,"0.877(0.193)"
"8","-2.163(1.026)",NA,"0.692(0.4)","2.799(0.689)","0.963(0.387)"
"9","-2.114(1.153)",NA,"0.687(0.368)","2.848(0.736)","1.203(0.351)"
