"","Sim","trued_01","trued_11","trued_00","trued_10","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,-1.08148148148148,-0.208604651162791,0.381,2.36729166666667,0.82572790087562,0.345444002388667,1.41226277372263,0.586534872847008,0.24919131957711,0.268099051457381,0.524991166580169,0.350517123855488,1.41226277372263,0.887271607142459,0.24919131957711,0.258911369911096,0.54138383798711,0.362747823251975,1.39887617146056,0.85749233347345,0.254817102176276,0.283475141643171,0.301703393953921,0.375022186413021,1.54845151646979,1.24674812251586,0.261567013545376,0.279930052783419
"2",2,-1.00136363636364,0.186369863013699,0.262692998204668,1.82580392156863,0.463915801927273,0.198242372538317,1.69927184466019,1.23535604273292,0.157643478619112,0.143682283680198,0.218409577062067,0.217596537386815,1.69927184466019,1.48086226759813,0.157643478619112,0.172954518005784,0.396473307544264,0.222443289826196,1.86086690657306,1.4643935990288,0.173470742086135,0.148638120739004,0.147636835466831,0.217400503859176,1.87032850085986,1.72269166539303,0.164148081727034,0.150486719123091
"3",3,-1.11013100436681,0.329766081871345,0.235796064400716,2.25854771784232,0.337048802272963,0.200660796206381,1.35986979166667,1.0228209893937,0.155518933968244,0.153030734977121,-0.0237316532294708,0.229336137371135,1.35986979166667,1.38360144489614,0.155518933968244,0.185424238405328,0.246030883363769,0.218159756562318,1.58081173573525,1.33478085237148,0.164118792642735,0.157488961476216,-0.0649846631550917,0.22112333706162,1.57096127111822,1.63594593427331,0.159386000012663,0.161957422379708
"4",4,-1.3605306122449,0.4365625,0.401844106463878,2.06613382899628,0.96096896250206,0.206988515592357,1.77890339425587,0.817934431753815,0.153692916358538,0.156736526361776,0.689592246349012,0.222695707110111,1.77890339425587,1.08931114790686,0.153692916358538,0.172524753664722,0.689422355553288,0.226733623147965,1.78170770937398,1.0922853538207,0.170846950249943,0.162127388488658,0.545941847821303,0.226539487210121,1.93359057700604,1.38764872918474,0.163633359444955,0.163058573616436
"5",5,-0.955450236966825,-0.1295625,0.294910071942446,2.00659340659341,0.435108294694606,0.19533021142768,1.66711217183771,1.2320038771431,0.149682596008071,0.150651803112699,0.432796712327535,0.209304999623647,1.66711217183771,1.23431545951017,0.149682596008071,0.161967614810463,0.153027324830294,0.216319239862585,1.66428068734574,1.51125336251545,0.158996075489341,0.160155048747435,0.247993986506912,0.221328280433248,1.86026038183763,1.61226639533072,0.15714437332624,0.162372695073126
"6",6,-1.3003829787234,0.606394557823129,0.185172413793103,1.90468164794007,0.430680357756636,0.200030019972735,1.79643229166667,1.36575193391003,0.161733566571164,0.148561279473019,0.442445621584136,0.220758359740231,1.79643229166667,1.35398667008253,0.161733566571164,0.169121261809132,-0.0724864435156232,0.21876525106111,1.61453278084214,1.68701922435776,0.160097272560364,0.160603900552379,0.435671083628123,0.218987763761441,2.04516436767635,1.60949328404822,0.168751342627995,0.147384023955015
"7",7,-1.26326271186441,0.623,0.23143109540636,2.30185483870968,0.986528818869291,0.202447275873506,1.86181818181818,0.875289362948891,0.152308052180476,0.155161383097,0.611172614629283,0.220520400667298,1.86181818181818,1.2506455671889,0.152308052180476,0.174599711359813,0.783453454883688,0.218767893792693,1.9517522990652,1.16829884418151,0.161393298765844,0.160141846865991,0.526974213816895,0.217851941824078,2.02972128384768,1.50274707003078,0.156921162366325,0.157928660987298
"8",8,-1.5018932038835,1.06519480519481,0.277560553633218,1.92114503816794,0.337694223750228,0.200239485689198,1.51990632318501,1.18221209943478,0.146102953283089,0.154096115871642,0.321980239584348,0.205698479194493,1.51990632318501,1.19792608360066,0.146102953283089,0.159732229490128,0.157148664062472,0.214430662757117,1.50313057030954,1.34598190624707,0.156243268817439,0.158418324520504,0.156476005940391,0.212333551010759,1.67515888475542,1.51868287881502,0.151368416584105,0.15466745330205
"9",9,-0.792764227642276,0.616225165562914,0.13519298245614,1.86304721030043,0.482047836655374,0.192431444928983,1.72371359223301,1.24166575557764,0.14677827009796,0.147669327444371,0.330579846575627,0.211124952115145,1.72371359223301,1.39313374565738,0.14677827009796,0.171381054487449,0.231134444277683,0.210983480289048,1.76686725055494,1.53573280627726,0.154631565461854,0.155108139361927,0.205851420034953,0.213150188883785,1.89121604784061,1.68536462780565,0.156489364436001,0.151091367137453
"10",10,-1.63326446280992,0.699314285714286,0.284822695035461,2.16625570776256,0.311078117479138,0.203786625139632,1.58868766404199,1.27760954656286,0.153381888493556,0.158967433533801,0.0653422369228124,0.235409065618498,1.58868766404199,1.52334542711918,0.153381888493556,0.198147442884944,0.0769671877107276,0.219082393775409,1.62384189559073,1.54687470788,0.157318519460883,0.166345142311196,0.0218673384886119,0.220554369559392,1.74536332484992,1.72349598636131,0.15970757797385,0.160969269423166
