"","D","E","F","G","H"
"1","-1.808","0.39","0.67","2.684","1.312"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.577(0.231)","0.528(0.367)","0.705(0.136)","1.81(0.184)","1.117(0.111)"
"5","-1.843(0.187)","0.43(0.266)","0.686(0.119)","2.733(0.155)","1.416(0.1)"
"6",NA,NA,"0.778(0.216)",NA,"1.052(0.2)"
"7",NA,NA,"0.674(0.215)",NA,"0.972(0.201)"
"8","-1.731(0.758)",NA,"0.746(0.415)","2.69(0.66)","1.175(0.39)"
"9","-1.77(0.807)",NA,"0.736(0.342)","2.678(0.643)","1.311(0.335)"
