"","D","E","F","G","H"
"1","-0.748","-0.18","-0.042","0.853","0.241"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.397(0.216)","-0.007(0.332)","0.042(0.141)","0.433(0.213)","0.172(0.118)"
"5","-0.759(0.177)","-0.126(0.248)","0.023(0.123)","0.872(0.175)","0.292(0.105)"
"6",NA,NA,"-0.056(0.228)",NA,"0.119(0.206)"
"7",NA,NA,"-0.025(0.227)",NA,"0.021(0.231)"
"8","-0.79(0.659)",NA,"0.033(0.391)","0.995(0.603)","0.202(0.393)"
"9","-0.808(0.659)",NA,"0.028(0.371)","0.967(0.581)","0.263(0.361)"
