"","D","E","F","G","H"
"1","-1.555","0.037","-0.067","1.612","0.461"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.862(0.205)","0.058(0.315)","-0.016(0.145)","0.936(0.202)","0.33(0.119)"
"5","-1.571(0.17)","0.019(0.238)","-0.091(0.126)","1.672(0.168)","0.52(0.106)"
"6",NA,NA,"-0.004(0.224)",NA,"0.242(0.204)"
"7",NA,NA,"-0.028(0.224)",NA,"0.056(0.226)"
"8","-1.534(0.587)",NA,"-0.066(0.481)","1.611(0.664)","0.23(0.444)"
"9","-1.52(0.594)",NA,"-0.077(0.463)","1.615(0.682)","0.354(0.438)"
