"","Sim","trued_01","trued_11","trued_00","trued_10","trued_sp","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,0.207410071942446,4.544375,0.712678571428571,4.67095238095238,1.05195918367347,0.93369242733597,0.320618682506009,1.401640625,0.46794819766403,0.246225962325307,0.244637060990773,0.350560092713939,0.412280462096977,1.401640625,1.05108053228606,0.246225962325307,0.347069975152785,0.800235606931083,0.343430057826851,1.39535005511817,0.595114448187088,0.244045424625976,0.25312544434724,0.639408614154729,0.340018524075814,1.47237314401022,0.832964529855493,0.252947739155463,0.238968862624134
"2",2,0.075969387755102,2.868,0.688771428571429,3.67852941176471,0.953489583333333,0.775327952737311,0.194489760354488,1.86262162162162,1.08729366888431,0.169148618406115,0.127105033003739,-0.182512163771635,0.258647110196755,1.86262162162162,2.04513378539326,0.169148618406115,0.228090737751782,0.803196126246115,0.214193801415981,1.99559694772654,1.19240082148043,0.174292996716386,0.131759847736221,0.493896730218894,0.210106669037682,1.93998400369533,1.44608727347643,0.173017421361538,0.125626318302385
"3",3,0.184734042553191,2.67733333333333,0.70556657223796,3.96655172413793,0.953128272251309,0.722644319542014,0.194303913269096,1.52112947658402,0.798485157042008,0.167198294596255,0.137620489733844,0.078513505003349,0.262914712356408,1.52112947658402,1.44261597158067,0.167198294596255,0.218622502022815,0.645994373951597,0.214321533520658,1.61595856985857,0.969964195906975,0.165951717049074,0.143717066377427,0.559134729633121,0.214136197495397,1.6727046992867,1.11356996965358,0.170675541070084,0.136467392847175
"4",4,0.187120418848168,2.14545454545455,0.738299711815562,4.08434782608696,1.04089121887287,1.0386830075244,0.196026721382949,1.69940568475452,0.660722677230121,0.15855981407733,0.138524754814439,0.530917309770805,0.246294136666254,1.69940568475452,1.16848837498372,0.15855981407733,0.199493290285824,0.96271878257167,0.211453363694075,1.75179450647126,0.789075723899589,0.160612715030015,0.143667897688408,0.80997630158919,0.208975934519913,1.79460210653491,0.984625804945718,0.162410853296012,0.137420720288742
"5",5,0.0699740932642487,2.13618181818182,0.874430199430199,3.70333333333333,1.08687747035573,0.805218749693285,0.189131461712832,1.70018469656992,0.894965946876636,0.159414180463957,0.137925787525006,0.365295980982652,0.249554047682532,1.70018469656992,1.33488871558727,0.159414180463957,0.206312526850128,0.616888106304092,0.208713707192112,1.65483681289318,1.03794870658909,0.156146407401205,0.146011860383358,0.751601858212335,0.206596789662475,1.7878506671966,1.03624880898427,0.163439839148192,0.134249011016598
"6",6,-0.217741935483871,3.11650793650794,0.784808510638298,3.425,0.991882352941176,0.820442815659353,0.190332783812966,1.84876923076923,1.02832641510988,0.166767928255351,0.138077862322439,0.416231588721858,0.246689412404007,1.84876923076923,1.43253764204737,0.166767928255351,0.198917001860749,0.588012895726084,0.208156736677605,1.80330858097062,1.21529568524454,0.156334394507915,0.145779892923587,0.837680963214194,0.209577073250341,1.99508045536293,1.15739949214873,0.170593690448089,0.129376924472004
"7",7,0.0406914893617021,3.39645833333333,0.716591230551627,4.23492753623188,1.02943298969072,0.986835498345846,0.190076104492773,1.81749367088608,0.83065817254023,0.15883671263877,0.13641479872302,0.385286947163174,0.242634959060542,1.81749367088608,1.4322067237229,0.15883671263877,0.200594967915943,0.988873412037119,0.204314735053874,1.97605638242514,0.987182970388019,0.157304780946483,0.140890750445677,0.723173717670983,0.206234229896338,1.91865021355505,1.19547649588406,0.162468413305914,0.134465223767214
"8",8,0.313598014888337,3.21260869565217,0.689198250728863,3.86876923076923,0.96439414114514,0.833014199855049,0.192539965355075,1.70587765957447,0.872863459719419,0.157236067603025,0.134075325521158,0.392314645895654,0.247304605484417,1.70587765957447,1.31356301367881,0.157236067603025,0.204919298992554,0.648609610752184,0.205210586302463,1.62536805936832,0.976758448616136,0.156542922925108,0.139225702756719,0.774719725433135,0.202511043012887,1.76683804240342,0.992118316970281,0.159479764852343,0.130662258565765
"9",9,0.19072972972973,3.2745652173913,0.535076282940361,4.47920634920635,0.852015306122449,0.893783451930838,0.189388149899951,1.95160206718346,1.05781861525262,0.15815193277244,0.135740723707596,0.239809804848442,0.24713805406135,1.95160206718346,1.71179226233502,0.15815193277244,0.213423667378035,0.833631714628515,0.206616180197856,2.00432765744494,1.17069594281642,0.157187807935248,0.140610687650356,0.722486416050893,0.206153193924048,2.04484535172429,1.3223589356734,0.163477278318847,0.131630864941874
"10",10,-0.276798941798942,1.86274509803922,0.857447405329593,4.14568965517241,1.10481193255512,0.73671044530952,0.192234021398941,1.63670157068063,0.899991125371108,0.158497070125323,0.143289187100079,0.138305183974558,0.254740498900804,1.63670157068063,1.49839638670607,0.158497070125323,0.216908046526328,0.626346299446787,0.215866356621345,1.67291380707179,1.046567507625,0.161237219925217,0.148733495540363,0.572957962198707,0.209671716639557,1.74657543052411,1.1736174683254,0.163039182960208,0.139465757136853
"11",11,0.403324538258575,1.94314285714286,0.798782849239281,3.67746031746032,1.0295165394402,0.94708248195133,0.182882563393699,1.93042713567839,0.983344653727062,0.152947778031637,0.13324383518188,0.487006554655279,0.238426042991711,1.93042713567839,1.44342058102311,0.152947778031637,0.200621067459717,0.822716456580892,0.201913602536135,1.90380399407911,1.08108753749822,0.152491978223121,0.137674778576109,0.90541974935351,0.199148536159584,2.0315325860233,1.12611283666979,0.156229774258747,0.130993672300856
"12",12,0.0900503778337531,2.83905660377358,0.707165697674419,4.06596774193548,0.984826666666667,0.504382547106211,0.184640633069122,1.5612962962963,1.05691374919009,0.146684555588435,0.139092852244299,-0.187747444067342,0.248033941263025,1.5612962962963,1.74904374036364,0.146684555588435,0.223361948647988,0.401915040443756,0.202314732739117,1.53856805914748,1.13665301870372,0.144936593642896,0.146168513215804,0.32245591622131,0.198957861475726,1.62118412793253,1.29872821171122,0.149823544733508,0.13701784153285
"13",13,-0.166099290780142,2.02260869565217,0.689745508982036,4.25920634920635,0.997373461012312,0.974732567521611,0.189199843646246,1.91505434782609,0.940321780304476,0.161051168285821,0.135407865406725,0.450189598522778,0.2534633195629,1.91505434782609,1.46486474930331,0.161051168285821,0.21273104305564,0.77145665053535,0.208753348279287,1.8205605421657,1.04910389163035,0.158015406171568,0.14283538699195,0.939881386607233,0.20678536367991,2.01354120703414,1.0736598204269,0.166246676087239,0.130746162731649
"14",14,0.0603571428571429,3.1051724137931,0.770264705882353,3.79085714285714,1.05218666666667,0.955353684407606,0.192132796814955,1.634,0.678646315592394,0.162884668493848,0.135058023453003,0.448786757863024,0.24533822282469,1.634,1.18521324213698,0.162884668493848,0.195136090563092,0.886098341047422,0.215196549430993,1.69372433925179,0.807625998204367,0.167103762169407,0.141953234348717,0.735141601252848,0.210732376580269,1.7280019784534,0.99286037720055,0.167141605430293,0.13600823461428
"15",15,-0.016484375,3.03046511627907,0.964450704225352,4.37285714285714,1.24223803363519,1.06729241594453,0.190152254301696,1.92817010309278,0.860877687148251,0.16520872495854,0.138472616282297,0.405498428017728,0.250607319962398,1.92817010309278,1.52267167507506,0.16520872495854,0.207395178745862,1.0630666676256,0.21086520487072,2.03321778924613,0.970151121620526,0.160308000060953,0.144311056722209,0.852230325801537,0.210313009865716,2.0367722505732,1.18454192477166,0.169988336782011,0.133585279178229
"16",16,0.663120393120393,2.41825,0.688979885057471,4.18508771929825,0.953625498007968,1.27576455184192,0.1920442413838,1.93344827586207,0.657683724020148,0.160545332915857,0.139520702337853,0.817635654520685,0.256479729854989,1.93344827586207,1.11581262134138,0.160545332915857,0.209411872729799,1.19330341086173,0.209957512829783,1.95525121909362,0.761947808231889,0.157051089699735,0.145419760252856,1.16450433815776,0.208518564407248,2.01027915290718,0.845774814749426,0.164466585285425,0.135737399738289
"17",17,0.0717936117936118,2.94833333333333,0.763751803751804,3.8351724137931,1.00095872170439,0.96370979330141,0.183464798869028,1.58720547945205,0.623495686150645,0.15375738945378,0.127264846956972,0.39492729434211,0.242116098413994,1.58720547945205,1.19227818510994,0.15375738945378,0.198618444656343,0.928856436182967,0.199858816398252,1.65015822389694,0.72130178771397,0.155344888136724,0.132274542241136,0.751354922715275,0.19869545073776,1.66166022113929,0.910305298424019,0.157272436448186,0.128292724918076
"18",18,0.139319248826291,2.422,0.492571428571429,3.85260869565217,0.808433242506812,0.930903784230711,0.195591869560596,1.79168975069252,0.860785966461809,0.162962016941049,0.139504995214503,0.283243150534399,0.263257590753204,1.79168975069252,1.50844660015812,0.162962016941049,0.223958829367969,0.877660913199614,0.212197742040004,1.90645989541655,1.02879898221693,0.161739464893557,0.144677670718151,0.723395851420153,0.211215973882335,1.88690928224247,1.16351343082232,0.165130741366861,0.138647457698598
"19",19,0.084961038961039,2.54428571428571,0.717314285714286,4.46015151515151,1.03980417754569,0.75424322824037,0.189271084188536,1.68514435695538,0.930901128715011,0.152713901941001,0.138743067406988,0.104882313064897,0.247601548562546,1.68514435695538,1.58026204389048,0.152713901941001,0.21442346961557,0.706556100390212,0.208274815178906,1.7546651172957,1.04810901690548,0.15403160568927,0.144914566179459,0.531328473645273,0.202334542380705,1.76418609590863,1.23285762226335,0.155240778109693,0.137150092563903
"20",20,0.0417525773195876,2.93369565217391,0.947599431818182,3.87048387096774,1.18417754569191,1.06454109092538,0.187279989927395,1.81448087431694,0.749939783391558,0.160458816540002,0.131788407915995,0.469826640909972,0.252179295181833,1.81448087431694,1.34465423340697,0.160458816540002,0.209082830322599,0.919659899775376,0.205715562682186,1.76620220247266,0.846542302697286,0.159799874547634,0.137820004137123,0.89456708396366,0.2045430522053,1.87852067471907,0.983953590755408,0.164406778005427,0.130348895568032
