"","D","E","F","G","H"
"1","-0.329","0.302","0.337","1.203","0.61"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.041(0.218)","0.418(0.336)","0.4(0.14)","0.805(0.213)","0.537(0.117)"
"5","-0.282(0.178)","0.327(0.25)","0.377(0.123)","1.258(0.175)","0.657(0.105)"
"6",NA,NA,"0.36(0.227)",NA,"0.498(0.206)"
"7",NA,NA,"0.337(0.227)",NA,"0.385(0.229)"
"8","-0.291(0.709)",NA,"0.381(0.499)","1.117(0.695)","0.49(0.506)"
"9","-0.291(0.677)",NA,"0.378(0.43)","1.085(0.634)","0.564(0.415)"
