"","D","E","F","G","H"
"1","-0.79","0.883","0.669","2.285","1.18"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.06(0.217)","0.84(0.332)","0.727(0.142)","1.618(0.199)","1.053(0.116)"
"5","-0.826(0.178)","0.926(0.248)","0.673(0.123)","2.347(0.165)","1.254(0.104)"
"6",NA,NA,"0.783(0.222)",NA,"0.966(0.203)"
"7",NA,NA,"0.671(0.221)",NA,"0.802(0.218)"
"8","-0.817(0.66)",NA,"0.699(0.395)","2.357(0.579)","1.022(0.335)"
"9","-0.81(0.662)",NA,"0.704(0.384)","2.347(0.62)","1.152(0.347)"
