"","Sim","trued_01","trued_11","trued_00","trued_10","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,0.40517226093929,0.0566569111174016,1.95240264993866,1.62224148066034,1.84797622631443,0.0284420766040745,2.28020529589538,0.43222906958095,0.0250564631815502,0.0228534332944636,1.89981386781028,0.0367959156721598,2.28020529589538,0.380391428085102,0.0250564631815502,0.0363114414653491,1.83789198807072,0.0330243584457032,2.28950733260259,0.451615344531865,0.0261499834610059,0.0228596088040949,1.86566870976342,0.032890531551327,2.3049195681842,0.439250858420789,0.0263303941077047,0.0224776538410484
"2",2,0.400905535054608,-0.0147579420621595,1.99141824392017,1.54913496214068,1.85486878043641,0.0135233423636474,2.28959579151382,0.434727011077408,0.0118424124362222,0.0104313302488517,1.87253653339648,0.0182467908677277,2.28959579151382,0.417059258117333,0.0118424124362222,0.0182029494701763,1.84939687470702,0.0154250108483567,2.29824314368245,0.448846268975437,0.0123208753251319,0.0105543659131238,1.86291265828642,0.0154033267535462,2.30561555459792,0.442702896311499,0.0123194320517562,0.0105136007019991
"3",3,0.372695859446495,-0.00876407840119454,1.99912763482636,1.59392065072109,1.84219307914747,0.0136080474990981,2.27559222906085,0.433399149913379,0.0122748941499675,0.0102842518466682,1.78590961561283,0.0500158519240507,2.27559222906085,0.48968261344802,0.0122748941499675,0.0502846781044595,1.84574443371526,0.0156394370811935,2.29218329616872,0.446438862453464,0.0128834049229871,0.0102796943559861,1.8468507292279,0.0156018306064106,2.29309827490586,0.446247545677957,0.0129129942979156,0.0102131524313302
"4",4,0.368900500596747,-0.0335658026214113,1.97241579291957,1.5610572563124,1.8063406758059,0.0134556858861184,2.22933752624849,0.422996850442591,0.0118327262587344,0.0104477271214963,1.79568788704439,0.0215925611356935,2.22933752624849,0.433649639204103,0.0118327262587344,0.0218645081012546,1.80408750857019,0.0153867949012848,2.2327227057853,0.428635197215107,0.0123648641633031,0.010569215740226,1.81509932660351,0.0154092033506485,2.23844983356219,0.423350506958678,0.0124205106269249,0.010506602782416
"5",5,0.357367706924938,-0.0431855647311326,2.00053801602902,1.58742334758141,1.85220934215078,0.013540461542224,2.28474710625966,0.432537764108874,0.0118171693149806,0.0105093915608553,1.87736618071842,0.0182403956220961,2.28474710625966,0.407380925541231,0.0118171693149806,0.0180403108545622,1.83740713837697,0.0153096121724784,2.27735118184096,0.43994404346399,0.0124184585721209,0.0103187963758934,1.87140429379248,0.0153096691152755,2.29673342526446,0.425329131471976,0.0124011438339776,0.0103037670605281
"6",6,0.387915063608405,-0.0647840711481752,2.00035443342194,1.57373442813504,1.86197606643887,0.0134526218035756,2.27297334441484,0.410997277975968,0.0120339317041414,0.0102477027139947,1.84783937213312,0.0208155591952285,2.27297334441484,0.425133972281724,0.0120339317041414,0.0207495545966804,1.8506159580576,0.0154190818434912,2.27719218576631,0.426576227708716,0.0126140212210066,0.0102822869052439,1.86954124223245,0.0154650941632728,2.28713221570759,0.417590973475141,0.0126173164899594,0.010285817294055
"7",7,0.373272567719182,-0.0635334688987406,1.99494266939177,1.56830417565053,1.84150873833206,0.0132944412175232,2.27616141847046,0.434652680138397,0.012119849956316,0.0102908513561077,1.85070650215484,0.0187456323032253,2.27616141847046,0.425454916315617,0.012119849956316,0.0188170051117361,1.83153672100069,0.0154371639158319,2.27450158452816,0.442964863527472,0.0126063980508638,0.0104406861193611,1.85838423570337,0.0155104127355326,2.28902876928345,0.430644533580078,0.0127533214919469,0.0103098591248707
"8",8,0.391277238662755,-0.0261482774933966,1.98562097297623,1.54155436810382,1.85030341865928,0.0134751772339036,2.27588217168194,0.425578753022657,0.0115286171292047,0.0105235195884317,1.86322161365636,0.0183491033130659,2.27588217168194,0.412660558025579,0.0115286171292047,0.0182587741309853,1.84522958275435,0.0153213124249413,2.28220539921896,0.436975816464608,0.0121581667726628,0.0106218357033258,1.85646049894387,0.015303586900139,2.28852382743578,0.432063328491906,0.0120957572509864,0.0106595075729909
"9",9,0.366123368141649,-0.0551573837132251,1.99556929901902,1.59514191859357,1.87225166571622,0.0130977799621079,2.28153284389591,0.409281178179689,0.0113728144756692,0.0100660806406566,1.87498130465135,0.0188708962813069,2.28153284389591,0.406551539244552,0.0113728144756692,0.0190378647880783,1.86314620375815,0.0148955558770276,2.28751090723061,0.424364703472457,0.0119919563760552,0.0101090413573967,1.87315066129315,0.0148828452791443,2.292755684674,0.419605023380852,0.0118636032945235,0.0102201831352984
"10",10,0.379034043355484,-0.0555950901229379,1.99650402153522,1.60523812134092,1.85777857091638,0.0134736332348157,2.27709791246389,0.419319341547506,0.0119182319743819,0.0106577768442646,1.86324011610546,0.0213364737344735,2.27709791246389,0.413857796358424,0.0119182319743819,0.0212652406118562,1.84090831547137,0.0154806129001653,2.27814237483236,0.437234059360994,0.0124613142188043,0.0106476394682471,1.86968043490383,0.0154556354447175,2.29384019333602,0.424159758432189,0.0124986949977686,0.0105508896683584
