"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","trued_AC_sp","trued_AC_sp_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,-0.381181434599156,-0.581532857142857,0.832974910394265,0.886726695051517,1.5836231884058,0.966892857142857,1.08139088729017,0.904628161961495,1.04110475667501,0.18846208120398,0.782260595799807,1.2000508471118,1.07970915377093,0.150563273776216,0.908533993562055,1.22199335391208,0.798886085487299,0.217196016088333,0.532010547197559,1.07708393306722,0.722709680590578,0.181181513364383,0.608168951807279,1.00317202577069,-0.133367244487038,0.128033737638185,-0.258129008505075,0.0508771489837368,0.011117807899024,0.196661492617838,-0.131810463357915,0.316980361038356,0.69135381540783,0.186892097768507,0.46274484260982,0.934557080668222,0.828487137582888,0.153028631885531,0.712487940434313,1.05959436566117,0.684350692756609,0.69953086428957,0.689373701435035
"2",2,0.00717054263565892,0.420967741935484,0.672654545454546,0.564148619508129,1.37007575757576,0.59830998097215,0.898845208845209,0.591786560595802,0.994382091631771,0.386920035591274,0.622541992449627,1.43821482828293,1.15108065687658,0.35169310015494,0.799287116551101,1.59971368916742,0.43551611346525,0.173265918290522,0.229474171183349,0.644788659594976,0.631754967365458,0.142979435413191,0.507967686650394,0.839523082382768,0.344363422955648,0.227503527883695,0.0105397156531497,0.528148144388671,0.520769150467222,0.306073234134737,0.0568319535781496,0.792740202115345,0.548100007773794,0.202173549338286,0.311365406156566,0.797365320525295,0.775698432529941,0.148649825567635,0.614116453764528,0.905289118462504,0.715240738065539,0.652143920998908,0.693209089810921
"3",3,-0.0267338709677419,-0.662203389830508,1.04775862068966,0.8868753496233,1.10211618257261,0.723524658101948,1.0637149817296,0.883993436357594,1.56577585555436,0.571910209057674,1.05315075357303,2.39240871711693,1.65117439008297,0.635559620489657,1.09067148199481,2.55663484974879,0.409096364857763,0.0912926098380451,0.341597820850507,0.550078330759636,0.55531966405438,0.0726078945607688,0.492484059040716,0.665010138761641,-0.615397325309262,0.124835754077737,-0.751551042462927,-0.442110806499544,-0.499621453474489,0.158059039174305,-0.712871663020544,-0.309676655397741,0.594351763309388,0.093822685206348,0.461528237372969,0.69810250471772,0.815466050929708,0.119912692132172,0.653523292182801,0.958377016681973,0.683276602715424,0.70277792716559,0.63251624843499
"4",4,0.48136,0.244395407017769,0.583386809269162,0.740540674603175,1.72477443609023,1.62090836334534,0.950507859733978,1.07331753831754,1.91710304492474,0.258981431142953,1.53770603498092,2.13037173704101,1.78101955423519,0.222688405709983,1.5136126768454,2.05967717374714,0.818700673811142,0.220403576441105,0.488181042258168,0.999851672128779,0.746425401050975,0.183468514309746,0.462532066367134,0.874307469727507,-0.0135066006359141,0.324949215092013,-0.379571454569137,0.332576625086643,-0.12074422871633,0.303480994341898,-0.497596539207822,0.250414767361895,1.06355593400844,0.158402148459828,0.848037500377106,1.21882678605163,1.0283934917558,0.102421555534194,0.867162301001664,1.08388317468409,0.701936795941762,0.661141930138835,0.68716708715206
"5",5,0.201888412017167,0.0569738591050067,0.908817391304348,1.06675901952719,1.24520599250936,0.639780479567714,1.01548693586698,0.918701334612455,0.818750047321598,0.368912591060675,0.280761879578599,1.19508838284603,0.724213890868256,0.409307368238776,0.119295866569185,1.12368463958832,0.974177502294154,0.213796803059652,0.680578440486005,1.19322758009699,0.902505283977914,0.203589307740345,0.639178505974321,1.06922579678994,0.0555295031858448,0.574894534740551,-0.739233107109465,0.718828736240333,0.0158084646508048,0.556403088414167,-0.761662384737212,0.648520805481079,0.90339154855281,0.173505548933947,0.692707299926094,1.13031999994463,0.87560710906603,0.164438388327031,0.686443171671059,1.0830588522229,0.621092270771538,0.72327542400379,0.624835230793147
"6",6,-0.109277108433735,0.190888170652877,0.649021352313167,0.759749121798557,1.61089552238806,1.84415593220339,0.959602409638554,1.03077240377633,1.67350220852484,0.27421159815863,1.33360239915002,2.03015185289643,1.60705908742296,0.37539212957877,1.17505237860295,2.08520106517462,0.881084719298343,0.223690569945571,0.682529751721649,1.15156034827163,0.755459202000416,0.183801725716655,0.569045311674693,1.02485134215374,0.0323474610671519,0.324583255358342,-0.358378806664366,0.404283728659533,0.0251796280783611,0.288084944080154,-0.330357651146528,0.332472668382431,0.931080427367229,0.207964847542669,0.667132179453641,1.17716474413706,0.959227812178674,0.213460676687809,0.717707017358149,1.25739483316857,0.612090344634941,0.702170138959119,0.667195585606005
"7",7,0.148065843621399,0.0273536585365852,0.559449378330373,0.70548708104968,1.8188,2.10170595731125,0.97272076372315,1.13239906584643,2.13545156008476,0.169370618303812,1.99229808039549,2.37639004035909,2.24634950734073,0.235449925722752,1.98094344647803,2.53683653487006,0.668653951002421,0.249088945530262,0.320030268255193,0.881253010351464,0.739143250182476,0.214870782104604,0.419138022931959,0.943340424177643,-0.0937025128341837,0.284428037230135,-0.315376929293722,0.283172887356865,-0.076344638456019,0.303427894248768,-0.330867855067947,0.317694443741862,0.969870780375788,0.204235676072027,0.674827880648037,1.1268110481748,1.08457487139959,0.163823811490458,0.840931869224783,1.23231953287348,0.618814384322788,0.713071531439077,0.642605051097606
"8",8,-0.18352380952381,-0.312922525503171,0.847956081081081,0.96706803652968,1.49479400749064,1.38203262092238,1.04901047729919,1.07759882687137,1.6142611271116,0.113720728005006,1.46672637519369,1.74261381952234,1.46623786487996,0.148038354923746,1.27684361219421,1.6444133977849,0.950192372147637,0.358028432563601,0.471939990309213,1.34431340766828,0.845799086670414,0.364590294799555,0.329593868242183,1.19039935839088,-0.0584781520480773,0.40939884543444,-0.529175661894704,0.473186108816962,-0.0877467527864767,0.398154169148043,-0.572086677376511,0.403074666880031,1.10661709946963,0.301329287105168,0.676658922646524,1.42062945921571,0.994012247821765,0.291599377192436,0.58064498583564,1.26092239911569,0.637007361902582,0.701893216696168,0.699233276393525
"9",9,0.219906976744186,-0.0708096393897364,0.725892857142857,0.944928668585708,1.31067729083665,1.70221328224777,0.895190311418685,1.12947265063703,2.16216815674065,0.322555329538888,1.70879158934022,2.49870367672238,2.14423491726223,0.345319243572569,1.63368388220375,2.42833528005907,1.01403717878906,0.124279003729277,0.819481057542771,1.08561849511611,0.940573781384908,0.156901743172535,0.714082331371278,1.09343037048409,0.238449366604676,0.372775131865753,-0.338276085603387,0.498539497461328,0.193427466814885,0.366991281640529,-0.378382519401245,0.437821186798508,1.18289593257991,0.159245399581243,0.985152156887438,1.39208941190009,1.17875701623647,0.17743908245694,0.9547273872517,1.34898345413451,0.589917309407195,0.757949654103433,0.605063200543806
"10",10,-0.0625555555555556,-0.228735177865613,0.615840707964602,0.369987337646056,1.54704280155642,1.88864545454545,0.90698296836983,0.846577795416447,1.65025995243458,0.176254314187465,1.4096965600454,1.85773530099128,1.61878298291488,0.181328017681709,1.35612720144714,1.79143801219557,0.395597815631271,0.161457061525089,0.18698188860092,0.534719801786183,0.405225875975297,0.146676405440945,0.208473830300257,0.555669592159477,-0.441712529715838,0.235486825323359,-0.721111773504288,-0.159849960020307,-0.437803866351319,0.297065093409669,-0.742771440045691,-0.0436949296754414,0.563512434021795,0.159664497302731,0.372847266176538,0.759073234749204,0.680519728666098,0.136933622175379,0.503298503539756,0.825303462268333,0.67228727195679,0.693326863327757,0.670296103538664
