"","Sim","trued_01","trued_11","trued_00","trued_10","trued_sp","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,-1.15767123287671,1.26375,0.903670212765957,2.34318681318681,1.37318996415771,1.14495285240236,0.348764555567101,1.79894736842105,0.65399451601869,0.262395915444273,0.266485218411065,0.919221150371158,0.369373121835125,1.79894736842105,0.879726218049895,0.262395915444273,0.271774726756648,0.907951233405001,0.366688430880107,1.89466452695304,0.986713293548037,0.262788387878029,0.280886544511454,0.727621020252589,0.382045396945179,2.01293578219865,1.28531476194606,0.272267850463779,0.281937806042497
"2",2,-0.567118644067797,0.912896551724138,0.634866785079929,2.034453125,1.07234432234432,0.916415867596952,0.200816688705716,2.12970660146699,1.21329073387004,0.15943724913012,0.143040927412856,0.618135836938665,0.22070332779375,2.12970660146699,1.51157076452833,0.15943724913012,0.175659768536494,0.856351792681718,0.222440170925118,2.27961786925438,1.42326607657266,0.17632514341392,0.14712646891153,0.56737793810318,0.218069333938328,2.27735421366834,1.70997627556516,0.165240182437625,0.150136147094078
"3",3,-0.742463768115942,0.779803921568627,0.596351118760757,2.49494208494208,1.18175,0.703564281609972,0.196748150796225,1.68369411764706,0.980129836037087,0.151111487898022,0.152554316408297,0.428816639510405,0.214899079625208,1.68369411764706,1.25487747813665,0.151111487898022,0.167796336201705,0.646195464157841,0.214110812584389,1.92985148118032,1.28365601702248,0.16107649510507,0.155734976971254,0.290577003976676,0.217553068843729,1.89781704050401,1.60724003652734,0.155719462941959,0.16051841102682
"4",4,-0.398506787330317,0.608,0.499109090909091,2.40200668896321,1.16926972909305,1.05586684143906,0.203961124693143,1.78539007092199,0.729523229482921,0.148061707022739,0.15771045714342,0.770490086503675,0.208762261504082,1.78539007092199,1.01489998441831,0.148061707022739,0.157666294646992,1.01634240731302,0.223618786976155,1.97286415500613,0.956521747693109,0.16361896982418,0.160816626469683,0.582911858489811,0.218054454055075,1.92461751218501,1.3417056536952,0.153757258104314,0.16165501253844
"5",5,-0.738442211055276,0.637234042553191,0.732605633802817,2.09047945205479,1.1936511627907,0.820411796166716,0.196435261775252,1.9827816091954,1.16236981302869,0.15168687022642,0.151439588242561,0.795218486962122,0.206911127228451,1.9827816091954,1.18756312223328,0.15168687022642,0.156113276777776,0.542154472632861,0.21705501709656,1.99485347615429,1.45269900352143,0.160333638792238,0.16051012063597,0.591759968554191,0.221849249776945,2.17196428616925,1.58020431761506,0.159323877229302,0.161260766600873
"6",6,-0.90795,1.48383647798742,0.499027303754266,2.06807843137255,0.974780023781213,0.79014377177116,0.193386281292604,2.04752403846154,1.25738026669038,0.154005730936149,0.14666380220618,0.773359309063987,0.207442957770203,2.04752403846154,1.27416472939755,0.154005730936149,0.156752594137188,0.529809056087409,0.210613878198756,2.05621281585002,1.52640375976261,0.153167033297276,0.155545225623423,0.683082928925054,0.212897307589483,2.25450905256195,1.57142612363689,0.161912165651639,0.145853989623986
"7",7,-0.645689655172414,0.782394366197183,0.532385964912281,2.7828515625,1.22986682808717,1.34748530037594,0.20166077939635,2.19192941176471,0.844444111388763,0.149703192342348,0.155333719572646,0.977466990558233,0.214434831775585,2.19192941176471,1.21446242120647,0.149703192342348,0.168102690391635,1.21527368837958,0.218592173860701,2.32215069745475,1.10687700907517,0.16061735483163,0.159418766753895,0.856186674956002,0.215332811675325,2.34361361342864,1.48742693847264,0.153625729866964,0.157355268643836
"8",8,-1.05966666666667,1.46706293706294,0.674512195121951,2.28567765567766,1.193813459268,0.809746235463875,0.199573370085109,1.99566433566434,1.18591810020046,0.144595001929729,0.153914558870971,0.807790252134795,0.204551768975896,1.99566433566434,1.18787408352954,0.144595001929729,0.159684593295772,0.535868893853786,0.214958845110477,1.90425279109218,1.36838389723839,0.156799611835027,0.158713818567771,0.626162527434986,0.212171147803376,2.1492482438331,1.52308571639812,0.150830804755339,0.154719829950995
"9",9,-0.825294117647059,0.692945736434109,0.656857142857143,2.31901960784314,1.15550588235294,1.05606198562814,0.190385646005311,2.21752941176471,1.16146742613657,0.147222376042038,0.146093389837767,0.844212099800844,0.208866914708571,2.21752941176471,1.37331731196386,0.147222376042038,0.167382240292343,0.902681511345114,0.209431412184085,2.29888670237633,1.39620519103122,0.156136968043964,0.152332027021379,0.735430254769005,0.210953914557944,2.38491751191511,1.6494872571461,0.154813075781042,0.15089465080375
"10",10,-0.860408163265306,1.06825396825397,0.532245989304813,2.31264925373134,1.10781664656212,0.692181870343619,0.200965798950413,1.92216748768473,1.22998561734111,0.151410621703734,0.158068205863947,0.454540234486478,0.224778197486689,1.92216748768473,1.46762725319825,0.151410621703734,0.185826890041473,0.580167843523661,0.218650472030137,2.03210644832212,1.45193860479846,0.156339177107176,0.164414694257088,0.37662676713649,0.217324445098914,2.07738882559786,1.70076205846137,0.156613761628296,0.160141749785961
