"","Sim","trued_01","trued_11","trued_00","trued_10","trued_sp","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,0.785205479452055,1.54130434782609,0.64160621761658,1.21840909090909,0.822241992882562,0.916396994588399,0.353072475398256,1.34856115107914,0.432164156490738,0.273015075310107,0.272708666415669,0.57744366423905,0.380295318067902,1.34856115107914,0.771117486840087,0.273015075310107,0.274144655311612,0.807361893884974,0.386283046882413,1.39386721449317,0.586505320608192,0.27807986716633,0.288520806354876,0.486020120362424,0.388151762839791,1.40875246190186,0.922732341539437,0.28585440561881,0.283124006768732
"2",2,0.00717054263565892,1.119296875,0.672654545454546,1.37007575757576,0.898845208845209,0.732227820720632,0.206260741571347,1.77446428571429,1.04223646499365,0.166579390243502,0.153803339667745,0.480837310248662,0.238415668228916,1.77446428571429,1.29362697546562,0.166579390243502,0.185374601881534,0.741916463139182,0.229451097960806,1.94122326626726,1.19930680312808,0.176220866439269,0.1616899891311,0.480837117317613,0.229189554311956,1.88829693325899,1.40745981594137,0.173326964041758,0.163253011380187
"3",3,-0.0267338709677419,0.699312977099237,1.04775862068966,1.10211618257261,1.0637149817296,0.698856110278182,0.193296304900159,1.45813559322034,0.759279482942157,0.154984727781668,0.148536843567721,0.529197281885623,0.220015309656641,1.45813559322034,0.928938311334716,0.154984727781668,0.164399270307468,0.612834459858772,0.212685097562233,1.54247605223585,0.929641592377083,0.161320486756466,0.155796432398463,0.482084931641435,0.219294933163612,1.58598263362802,1.10389770198659,0.160626323460398,0.160908061760219
"4",4,0.48136,0.628211382113821,0.583386809269162,1.72477443609023,0.950507859733978,0.904882913354036,0.200681937323484,1.64641277641278,0.741529863058741,0.151564992276384,0.150275641499948,0.802185272252157,0.215054856064977,1.64641277641278,0.844227504160619,0.151564992276384,0.159384446310699,0.770017658346537,0.218247806445101,1.60506346897964,0.835045810633101,0.160764793254226,0.156856114779886,0.721382289544995,0.217576819653473,1.71073827147536,0.989355981930366,0.156771836824824,0.159620786904542
"5",5,0.201888412017167,0.53888,0.908817391304348,1.24520599250936,1.01548693586698,0.79532927929945,0.19504713987775,1.69241217798595,0.897082898686498,0.156089048670504,0.148674870251242,1.00046481119598,0.215295195428123,1.69241217798595,0.691947366789968,0.156089048670504,0.152733667848018,0.521498408937413,0.219295738727145,1.52961378123507,1.00811537229766,0.162210863277849,0.158907498487824,0.958775349310424,0.21855660850515,1.78223876938138,0.823463420070955,0.161350884510807,0.157963483450055
"6",6,-0.109277108433735,0.866694214876033,0.649021352313167,1.61089552238806,0.959602409638554,0.907391399199136,0.201043636433621,1.74691358024691,0.839522181047778,0.162520479637218,0.158151720644052,0.722902257341275,0.232357516211677,1.74691358024691,1.02401132290564,0.162520479637218,0.174913085506421,0.629953470640561,0.2216177306718,1.69395919383099,1.06400572319043,0.158625026052401,0.168058077477976,0.731348566954255,0.222771855975028,1.88822516279966,1.1568765958454,0.16902927253543,0.157058028193233
"7",7,0.148065843621399,1.05924369747899,0.559449378330373,1.8188,0.97272076372315,0.944191087462862,0.198043254664819,1.94359523809524,0.999404150632376,0.153986241181506,0.147764740037997,0.787609854910604,0.217713752480385,1.94359523809524,1.15598538318463,0.153986241181506,0.166827563260233,0.853310825863624,0.214027056710089,1.98090918814788,1.12759836228426,0.159057400652579,0.154256937637886,0.739900892817369,0.21425153184934,2.03454142593847,1.2946405331211,0.157904185179603,0.153289806411574
"8",8,-0.18352380952381,1.03709923664122,0.847956081081081,1.49479400749064,1.04901047729919,0.839017371322152,0.197806119239906,1.68706018518518,0.848042813863033,0.147510178102572,0.152227272138322,0.881015007708948,0.20575814774166,1.68706018518518,0.806045177476237,0.147510178102572,0.150264112889127,0.639817455411232,0.212483317466957,1.56537513267869,0.925557677267455,0.154294322084393,0.158826969375498,0.796408811392375,0.213357901505719,1.75338473257692,0.956975921184549,0.153121227196893,0.15678938269703
"9",9,0.219906976744186,0.557372881355932,0.725892857142857,1.31067729083665,0.895190311418685,0.903114079723898,0.192492729842038,1.8584703196347,0.955356239910805,0.150591384575026,0.14529661898485,0.836704691585413,0.210402812029731,1.8584703196347,1.02176562804929,0.150591384575026,0.157666721991342,0.798933246572884,0.211986118918489,1.85928285251011,1.06034960593722,0.157233563244296,0.151631004971703,0.762607458000371,0.212012522904077,1.93495658766275,1.17234912966238,0.156672974871379,0.151318886925688
"10",10,-0.0625555555555556,1.0512037037037,0.615840707964602,1.54704280155642,0.90698296836983,0.700142463267816,0.202211928338687,1.63496259351621,0.934820130248394,0.155055411667,0.158582378925261,0.455542268363709,0.23488286454578,1.63496259351621,1.1794203251525,0.155055411667,0.187477483616826,0.667405950171028,0.225015795232084,1.78994185967413,1.1225359095031,0.162618676294761,0.166585978805223,0.457799128982164,0.223678537821862,1.76200889556333,1.30420976658117,0.16051429747463,0.166057913443161
"11",11,0.296138996138996,1.17936936936937,0.680036231884058,1.60820143884892,0.990915662650602,0.762208388049039,0.190886190130221,1.84522565320665,1.08301726515761,0.148872237330255,0.145704315474749,0.614556459513111,0.213733124199576,1.84522565320665,1.23066919369354,0.148872237330255,0.168456487630632,0.683467484853095,0.211732816010689,1.86978662641788,1.18631914156479,0.155092172224315,0.151689840640839,0.609930254012206,0.207849246386913,1.93745890590034,1.32752865188813,0.153370620227904,0.149834414213153
"12",12,0.111287553648069,0.465238095238095,0.686746575342466,1.70906614785992,0.999155766944114,0.608735738553378,0.194706020194005,1.64321678321678,1.0344810446634,0.148828309417543,0.154879129079212,0.630305799455277,0.218896910319244,1.64321678321678,1.01291098376151,0.148828309417543,0.169902117605395,0.356056651001468,0.218787816904297,1.51999854366095,1.16394189265948,0.158065040027804,0.163643694391867,0.541301806691699,0.219579679875315,1.72494258221679,1.18364077552509,0.155159670095871,0.166201856550812
"13",13,-0.0510344827586207,0.239716312056738,0.479441441441441,1.70518382352941,0.882587666263603,0.744294689817775,0.203684115488918,1.75103117505995,1.00673648524218,0.155476370001492,0.156603188115083,0.676906710472327,0.217945007975997,1.75103117505995,1.07412446458762,0.155476370001492,0.164274330615029,0.590670276035691,0.224985012690501,1.73803112736585,1.14736085133016,0.1630360969561,0.163886308494803,0.577416010481167,0.221025052892114,1.84952244450598,1.27210643402481,0.161800252708301,0.160765695983413
"14",14,-0.485836734693878,0.946239316239316,0.981646447140381,1.66593869731801,1.19477326968974,0.995084799908406,0.198122187462425,1.75378313253012,0.758698332621714,0.157889977633284,0.146713114959412,0.973440823456594,0.220001652575701,1.75378313253012,0.780342309073526,0.157889977633284,0.159064674006919,0.784857985285394,0.221589568204339,1.69283680292433,0.907978817638938,0.168293859442174,0.155865831203781,0.913223159515536,0.220328444115738,1.86913924396307,0.955916084447532,0.162280877205049,0.159171988733927
"15",15,0.290878661087866,0.553846153846154,0.886188034188034,1.66598455598456,1.12548578199052,1.01648115658724,0.20041207739318,1.9148275862069,0.898346429619654,0.163160803116362,0.156462173492811,0.876674423264138,0.230397938812889,1.9148275862069,1.03815316294276,0.163160803116362,0.172663839135213,0.973222803729691,0.22404327172081,2.0483746969837,1.07515189325401,0.163834894771813,0.166245935885112,0.87593000714374,0.225474577894415,2.05696481059512,1.18103480345138,0.170638402610334,0.160814533129121
"16",16,0.271209302325581,0.623333333333333,0.741370826010545,1.85195729537367,1.10851764705882,1.2454513499507,0.202905352864873,1.9267380952381,0.681286745287391,0.150077167133704,0.162868819022323,1.11707625520092,0.216342443062801,1.9267380952381,0.809661840037177,0.150077167133704,0.161281158736566,1.19303168658956,0.224298939839607,2.01340105450279,0.82036936791323,0.159022318971794,0.170521518280227,0.999799529458596,0.222124953662869,2.02464265760304,1.02484312814445,0.156613241718237,0.169932017375948
"17",17,0.289873417721519,0.77078125,0.682010676156584,1.29714285714286,0.883125748502994,0.897081099396074,0.191278565424433,1.51645238095238,0.619371281556307,0.149888147699754,0.146343062747095,0.815039239515202,0.207216049721317,1.51645238095238,0.701413141437179,0.149888147699754,0.147920813891171,0.84201131136063,0.21579820532807,1.58655771039355,0.744546399032921,0.162649064956341,0.15461756653376,0.71705033112392,0.212206975528685,1.59968011436848,0.882629783244563,0.155777639133549,0.156373097038494
"18",18,0.058212927756654,1.00992366412214,0.392074074074074,1.46725563909774,0.746910669975186,0.808400039278394,0.20352194023585,1.70853470437018,0.900134665091786,0.15675271614123,0.154139541563781,0.577807325416822,0.229778066096012,1.70853470437018,1.13072737895336,0.15675271614123,0.179681472479306,0.794862043814463,0.2202995699905,1.86029729465095,1.06543525083649,0.159502716875248,0.161732568440409,0.550220607258101,0.222244831126507,1.81436059839366,1.26413999113556,0.159721594457267,0.163975394621869
"19",19,0.352131782945736,1.71154545454545,0.634509151414309,1.27017316017316,0.810997596153846,0.677693651623135,0.191644835816019,1.59383495145631,0.916141299833176,0.147225502913286,0.156791938320606,0.478553406023419,0.223222470585884,1.59383495145631,1.11528154543289,0.147225502913286,0.179285821230376,0.58975780858224,0.216575758457974,1.66077185091067,1.07101404232843,0.153982987359441,0.164554073580002,0.477117823926086,0.21395610424427,1.68932761330632,1.21220978938023,0.153340715217372,0.162623702685491
"20",20,-0.0805882352941177,1.09936507936508,0.977835051546392,1.45586614173228,1.12307416267943,1.02309709755535,0.195117736651742,1.74658653846154,0.72348944090619,0.153070958169497,0.145368951515108,0.90593266831547,0.216803813399714,1.74658653846154,0.840653870146068,0.153070958169497,0.160507658891218,0.951392784425765,0.213750915932654,1.78851570885663,0.837122924430869,0.159151864694101,0.152700409081043,0.888346962480023,0.214218751409787,1.83608104619725,0.947734083717227,0.158093947088117,0.153771845120739
