"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.108684210526316,0.378301886792453,0.349947368421053,1.28975308641975,0.630848708487085,0.430785477252455,0.574026438402773,0.542322720457157,0.730715789295586,0.604799813112225,0.343486634994634,0.517212910811173,0.238098314029667,0.361876885827027,0.199349187089321,-0.242435956507883,-0.439692239126253,0.0756586001793023,0.0214501262370993,0.214082586069819,1.10400691101279,1.5877451159318,1.00898684073501,1.43998145235407,0.995517040154632,0.20978567620219,0.267065594769409,0.0227429076375456,0.0434624224205012,0.00241437260956201,0.201922826688462,0.468623186517753,0.505521422946437,1.40011879176967,0.796865393635997,0.324551792966187,0.457411156957168,0.231576643416534,0.339942105500839,0.195490485739309,-0.434186998643165,-0.427886207245094,0.0516395421893556,0.733844508159316,0.41371108226671,0.83803265202009,1.3651325802806,0.959403303703518,2.06639307538003,1.18001970500528,0.533837306957501,0.305593539586637,0.0290391141198718,3.81019483570721e-05,4.57705279930387e-05,0.166449181687705,0.220655766493931,0.537610249527122,0.138463911996279,76,53,190,81,271
"2",2,-0.043625,-0.0248648648648649,-0.184577114427861,2.00463414634146,0.449752650176678,0.478124888192345,0.811597174712735,0.904814638720446,1.16898154436911,0.987358332719222,0.34365916773769,0.580003297205195,0.216546699705853,0.378572595770124,0.190496625301924,-0.195434703530536,-0.325188398723929,0.480390906325965,0.426992891125827,0.61399180795103,1.15168447991523,1.9483827481494,1.32923837111493,1.91097019761239,1.36072485748741,0.164141628768308,0.161723783366616,2.93591403797144e-05,0.00201599177711187,2.1825699603184e-07,0.201424851924171,0.370548005041287,0.806473257018445,2.28627315291232,1.20467395627716,0.324616246200551,0.499090517119021,0.211607487960326,0.353676030436574,0.187117299062779,-0.434811299425495,-0.607651433537465,0.391730201757213,1.59308087106155,0.837930789229704,0.837661003273837,1.34874744362004,1.22121631227968,2.9794654347631,1.57141712332462,0.534927698733013,0.457816858121859,0.000138307571947438,1.01758934611951e-10,1.21003540520803e-10,0.205658795736477,0.174625007514091,0.542554030629771,0.194137748561175,80,37,201,82,283
"3",3,-1.02650485436893,1.09794117647059,0.222119565217391,1.23556962025316,0.526539923954373,-0.145967979729794,0.545236704484358,0.408932152797974,1.0891761024234,0.606345577291846,0.323473233658206,0.566497576471786,0.239192120786304,0.4087601712828,0.207960595320279,-0.779963867662587,-0.565078142729567,-0.059875789328937,0.288020888394686,0.198750300260592,0.488027908202998,1.65555155169828,0.877740094924884,1.89033131645211,1.0139408543231,0.651807855143096,0.335813758998517,0.0873326687913658,0.00770834496863637,0.00354919625698091,-0.775069395990648,1.21527499539457,0.560839766146837,1.37709677042633,0.797124688438271,0.307551905392521,0.490301088423802,0.232574186403306,0.377704146188929,0.203583764375054,-1.37786005393666,0.254302520503134,0.105002737062652,0.636810247084583,0.398107842426077,-0.172278738044636,2.17624747028602,1.01667679523102,2.11738329376809,1.19614153445046,0.0117313002613543,0.0131888033307461,0.015889465573513,0.000266388388223682,9.02308975858634e-05,0.374951557524303,0.103901369840227,0.404413961477845,0.251493308519801,103,34,184,79,263
"4",4,-0.0122368421052631,-1.32170731707317,0.617860696517413,1.37463414634146,0.837137809187279,-0.163797172366393,0.372122159251684,0.33332846222507,0.871466241364372,0.486262453346566,0.353442697802308,0.651425540239177,0.218796746054556,0.390090995247917,0.192584334765943,-0.856532130657591,-0.904648438226651,-0.0955052799764154,0.106901939985069,0.108804093218712,0.528937785924805,1.64889275673002,0.762162204426555,1.63603054274367,0.863720813474419,0.643053699553321,0.567835059365005,0.127643236300074,0.0254825741341194,0.0115720500936961,-0.340712034182919,-1.25748723688375,0.267580865723269,1.17914605062987,0.525751425084928,0.332872809216312,0.541785245903692,0.213713305948137,0.362918801827588,0.189098089960082,-0.993130751679564,-2.31936680621016,-0.151289516952069,0.467838269735367,0.155125979217852,0.311706683313725,-0.195607667557332,0.686451248398608,1.89045383152437,0.896376870952004,0.306047772149983,0.0202864771504807,0.210549734047132,0.00115785832025095,0.00543069273876129,0.378098548508092,0.00321472979166991,0.422216684652048,0.394655850422489,76,41,201,82,283
"5",5,-1.13712643678161,1.14162162162162,-0.202041884816754,-0.0647058823529412,-0.159746376811594,-0.197239017500632,0.481712655570652,-0.582136927382119,0.0674904579137868,-0.399752451203096,0.367366224791786,0.646674880550564,0.224608270991108,0.413045339769711,0.199445700197248,-0.917263587228977,-0.785746820015194,-1.0223610491545,-0.742063532016957,-0.790658840461076,0.522785552227713,1.7491721311565,-0.141912805609735,0.87704444784453,-0.00884606194511656,0.591336519123931,0.456327933476699,0.00954787043442407,0.870205696045825,0.0450360904877547,-1.20144865213778,1.00600205706772,-0.564130590449036,-0.141496905581732,-0.430909102827821,0.344340728488525,0.53888485734248,0.219118473727287,0.381042298967663,0.195581706780317,-1.87634407838557,-0.0501928551375472,-0.993594907301905,-0.888326088144694,-0.814242204152115,-0.526553225889983,2.06219696927298,-0.134666273596167,0.605332276981231,-0.0475760015035258,0.000484600224681331,0.0619264621721074,0.0100371738240576,0.710383022093116,0.0275793994775887,0.143100073895664,0.204293583023456,0.617378512337602,0.108484554656402,87,37,191,85,276
"6",6,-0.23,-0.33037037037037,0.0287096774193549,1.71113636363636,0.569051094890511,0.222028903525887,0.182255329899702,0.650304645394758,0.606262289406826,0.637738575844594,0.343156788260071,0.55392932324941,0.236220441851146,0.38455392422501,0.201285538823447,-0.450546042514289,-0.903426193649787,0.187321086954374,-0.147449552187738,0.243226169141899,0.894603849566062,1.26793685344919,1.11328820383514,1.35997413100139,1.03225098254729,0.517619756952137,0.742138518893991,0.00590597090421952,0.114902817642513,0.00153318525228752,-0.0694194301904405,-0.130990104729154,0.657724360059044,1.80562709199568,0.944700043043202,0.324265744317809,0.481080080413254,0.229860076017593,0.358381643478506,0.197316442105052,-0.704968610473419,-1.07388973601877,0.207206889580922,1.10321197805753,0.557966922959716,0.566129750092538,0.811909526560457,1.10824183053717,2.50804220593382,1.33143316312669,0.830483181784983,0.785404143441509,0.00421758685665519,4.69733756669477e-07,1.68669030520263e-06,0.184753098965413,0.194460487332009,0.582829467476402,0.112082198679033,99,27,186,88,274
"7",7,0.718488372093023,1.18452380952381,-0.0872727272727273,0.516941176470588,0.101544117647059,0.060740053441107,0.455381669618025,-0.508097669589923,-0.0587253307706108,-0.354720006574037,0.401138822776765,0.5343836340084,0.239194940463828,0.323813512131956,0.192991309478116,-0.725477592002148,-0.591991006966072,-0.976911138183228,-0.693388152256669,-0.732976022480368,0.846957698884362,1.50275434620212,-0.0392842009966189,0.575937490715447,0.0235360093322946,0.879645174833587,0.394123931663928,0.0336535011439429,0.85608861972331,0.0660608937236535,0.356662562449872,0.958681691946569,-0.821241686825196,0.143230976911064,-0.495022991737932,0.371681727803759,0.468701002352456,0.232589356105266,0.307759630604873,0.18948274825081,-0.371820237757114,0.0400446078179312,-1.27710844797888,-0.459966814969838,-0.866402354001189,1.08514536265686,1.87731877607521,-0.365374925671515,0.746428768791965,-0.123643629474675,0.337260935714788,0.0408152998792248,0.00041420262278391,0.641645860480565,0.00898836471726394,0.229190301994966,0.133640955862965,0.469475164936281,0.299039927915047,86,42,187,85,272
"8",8,-0.0225609756097562,-0.0728260869565217,0.0314285714285714,1.49471153846154,0.590919117647059,0.0152308375671688,0.784261920721398,0.43412632935949,1.19358656866468,0.708437083964093,0.373743084023347,0.540621265225805,0.248720775244323,0.345056527608294,0.20346381139038,-0.717292146589518,-0.275336288397656,-0.0533574323262647,0.517288201921973,0.309655341481698,0.747753821723856,1.84386012984045,0.921610091045245,1.86988493540739,1.10721882644649,0.967493479273616,0.146872355361266,0.0809089098523823,0.000541974694022951,0.000497902120396576,0.0325068476158404,-0.0598560635186051,0.0115195519525594,1.56139149561068,0.519777152909271,0.349693164468987,0.473145401656982,0.241294146238932,0.325890830714898,0.199356522362457,-0.652879160383216,-0.987204010217029,-0.461408284356089,0.922657204517641,0.129045548995702,0.717892855614897,0.867491883179818,0.484447388261208,2.20012578670372,0.910508756822841,0.925936767821907,0.899330845598727,0.961922895488418,1.65828998865969e-06,0.00912661951247973,0.393127541397166,0.00685443157920127,0.303512342711132,0.428714419758613,82,46,168,104,272
"9",9,-0.674810126582278,0.0371794871794871,0.348263157894737,1.52260869565217,0.731382978723404,-0.339256281809499,0.444361826350197,0.406321321405829,1.20936218759932,0.686442202329736,0.408205542968611,0.654590919633331,0.227689479301846,0.347830915983415,0.192973151512305,-1.13932444431759,-0.838612800738084,-0.0399418576844681,0.527626119562247,0.308221775382427,0.460811880698595,1.72733645343848,0.852584500496126,1.89109825563639,1.06466262927704,0.405921768486778,0.497239898072502,0.0743357201139683,0.000507307475482,0.000374842768743999,-0.65464052624094,-0.0726310310842979,0.322101801139581,1.53924345012869,0.75589276946442,0.37720333949106,0.543848258697877,0.221961463997317,0.32822937720051,0.189462060262631,-1.39394548649165,-1.13855403118696,-0.112934674250943,0.895925692147681,0.384553954912906,0.084664434009773,0.993291969018363,0.757138276530106,2.1825612081097,1.12723158401594,0.08265034360165,0.893758284309416,0.146735057604211,2.73825382546278e-06,6.61628230589351e-05,0.363124540744909,0.00346812458402527,0.39295919355288,0.449878511335541,79,39,190,92,282
"10",10,0.264302325581395,0.679767441860465,-0.0575675675675676,1.41616279069767,0.410110701107011,0.135487726524309,0.741371855399163,0.305742580747285,0.960744037764642,0.545873421554298,0.332602054058118,0.500885169571403,0.248923543135803,0.366592618723067,0.208110831491184,-0.516400320613646,-0.240345037351024,-0.182138598702992,0.242235708069207,0.137983687038892,0.787375773662264,1.72308874814935,0.793623760197562,1.67925236746008,0.953763156069704,0.683745910894397,0.138840320395818,0.21934975894526,0.00877390794431887,0.00871608576444594,0.165575545435896,0.658607056070617,-0.148121344362523,1.36045013310899,0.465632070426267,0.315299748937377,0.446014587609976,0.24147253614937,0.343754518242407,0.203724467628697,-0.452400606815885,-0.215565472224421,-0.621398818470834,0.686703657830955,0.066339451104426,0.783551697687677,1.53277958436565,0.325156129745789,2.03419660838702,0.864924689748109,0.599487998043192,0.139769712799499,0.539606162617722,7.56999126628743e-05,0.0222778348117272,0.390478513992176,0.0518148493926789,0.307368193841869,0.406423354224576,86,43,185,86,271
