"","D","E","F","G","H"
"1","0.569","1.327","1.071","1.895","1.327"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.918(0.379)","1.278(0.6)","1.14(0.228)","1.505(0.36)","1.256(0.194)"
"5","0.583(0.274)","1.319(0.372)","1.09(0.186)","1.911(0.264)","1.35(0.162)"
"6",NA,NA,"1.175(0.381)",NA,"1.241(0.343)"
"7",NA,NA,"1.073(0.378)",NA,"1.125(0.377)"
"8","0.525(0.605)",NA,"1.102(0.388)","1.933(0.574)","1.233(0.365)"
"9","0.548(0.595)",NA,"1.113(0.355)","1.925(0.567)","1.32(0.333)"
