"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.108684210526316,0.378301886792453,0.349947368421053,1.28975308641975,0.630848708487085,0.430785477252451,0.574026438402751,0.542322720457171,0.730715789295586,0.604799813112234,0.343486634994634,0.517212910811173,0.238098314029667,0.361876885827027,0.199349187089321,-0.242435956507888,-0.439692239126274,0.0756586001793154,0.0214501262371001,0.214082586069827,1.10400691101279,1.58774511593178,1.00898684073503,1.43998145235407,0.99551704015464,0.209785676202195,0.267065594769427,0.0227429076375423,0.043462422420501,0.00241437260956168,0.201922826688459,0.468623186517725,0.505521422946453,1.40011879176967,0.796865393636007,0.255306192995598,0.339413425344866,0.192221232545353,0.265346647759997,0.166185993889029,-0.298468116612946,-0.196614903027587,0.128774730093663,0.880048918741644,0.471146830878517,0.702313769989864,1.13386127606304,0.882268115799243,1.9201886647977,1.1225839563935,0.428999699910027,0.167375689123405,0.00854115515467746,1.3162795364785e-07,1.62657482571937e-06,0.166449181687705,0.220655766493931,0.537610249527122,0.138463911996279,76,53,190,81,271
"2",2,-0.043625,-0.0248648648648649,-0.184577114427861,2.00463414634146,0.449752650176678,0.478124888192345,0.811597174712735,0.904814638720446,1.16898154436911,0.987358332719222,0.34365916773769,0.580003297205195,0.216546699705853,0.378572595770124,0.190496625301924,-0.195434703530536,-0.325188398723929,0.480390906325965,0.426992891125827,0.61399180795103,1.15168447991523,1.9483827481494,1.32923837111493,1.91097019761239,1.36072485748741,0.164141628768308,0.161723783366616,2.93591403797144e-05,0.00201599177711187,2.1825699603184e-07,0.201424851924171,0.370548005041287,0.806473257018445,2.28627315291232,1.20467395627716,0.255306788277533,0.365324680075259,0.17792842671592,0.274219403747831,0.15997859437671,-0.298967258108386,-0.345475210569839,0.457739948829367,1.74881299770453,0.891121673001469,0.701816961956728,1.08657122065241,1.15520656520752,2.82373330812012,1.51822623955285,0.430139945498354,0.310440692102278,5.82700342899312e-06,0,5.06261699229071e-14,0.205658795736477,0.174625007514091,0.542554030629771,0.194137748561175,80,37,201,82,283
"3",3,-1.02650485436893,1.09794117647059,0.222119565217391,1.23556962025316,0.526539923954373,-0.145967979729811,0.545236704484327,0.40893215279798,1.0891761024234,0.606345577291852,0.323473233658206,0.566497576471786,0.239192120786304,0.4087601712828,0.207960595320278,-0.779963867662605,-0.565078142729598,-0.0598757893289307,0.288020888394689,0.198750300260597,0.488027908202982,1.65555155169825,0.87774009492489,1.89033131645211,1.01394085432311,0.65180785514306,0.335813758998544,0.0873326687913609,0.00770834496863615,0.00354919625698058,-0.775069395990686,1.21527499539451,0.560839766146876,1.37709677042633,0.797124688438297,0.24413161830564,0.359856703254787,0.192917995908815,0.289514551493029,0.172111455177518,-1.25355857535722,0.509968817419813,0.182727442195954,0.809658676499727,0.459792434963583,-0.296580216624153,1.92058117336921,0.938952090097798,1.94453486435294,1.13445694191301,0.00149939100550112,0.000732522495701993,0.00364749045867985,1.96908160332576e-06,3.63122975421959e-06,0.374951557524303,0.103901369840227,0.404413961477845,0.251493308519801,103,34,184,79,263
"4",4,-0.0122368421052631,-1.32170731707317,0.617860696517413,1.37463414634146,0.837137809187279,-0.163797172366393,0.372122159251684,0.33332846222507,0.871466241364372,0.486262453346566,0.353442697802308,0.651425540239177,0.218796746054556,0.390090995247917,0.192584334765943,-0.856532130657591,-0.904648438226651,-0.0955052799764154,0.106901939985069,0.108804093218712,0.528937785924805,1.64889275673002,0.762162204426555,1.63603054274367,0.863720813474419,0.643053699553321,0.567835059365005,0.127643236300074,0.0254825741341194,0.0115720500936961,-0.340712034182919,-1.25748723688375,0.267580865723269,1.17914605062987,0.525751425084928,0.260727331249605,0.391979949039768,0.179461014256742,0.280115565321418,0.161456786892435,-0.851728213217389,-2.02575381966354,-0.084156258848975,0.630129631090811,0.209301937716197,0.17030414485155,-0.489220654103955,0.619317990295514,1.72816247016892,0.842200912453659,0.191289039261409,0.0013364305052912,0.135954921245184,2.55938147291079e-05,0.00112875183594463,0.378098548508092,0.00321472979166991,0.422216684652048,0.394655850422489,76,41,201,82,283
"5",5,-1.13712643678161,1.14162162162162,-0.202041884816754,-0.0647058823529412,-0.159746376811594,-0.19723901750064,0.481712655570683,-0.582136927382132,0.0674904579138087,-0.3997524512031,0.367366224791787,0.646674880550566,0.224608270991108,0.413045339769712,0.199445700197249,-0.917263587228988,-0.785746820015169,-1.02236104915452,-0.742063532016937,-0.79065884046108,0.522785552227708,1.74917213115653,-0.141912805609749,0.877044447844554,-0.00884606194511961,0.591336519123915,0.456327933476674,0.00954787043442229,0.870205696045783,0.0450360904877531,-1.20144865213773,1.00600205706783,-0.564130590449083,-0.141496905581706,-0.430909102827845,0.268137668695892,0.390162131629347,0.183351155618178,0.291628682756532,0.166253616046995,-1.72698882568021,0.241298330942936,-0.923492251984511,-0.713078620643366,-0.756760202579505,-0.675908478595251,1.77070578319273,-0.204768928913656,0.430084809479955,-0.105058003076184,7.43931652680274e-06,0.00992531217210901,0.00209251888549677,0.627537719955689,0.00954535932340983,0.143100073895664,0.204293583023456,0.617378512337602,0.108484554656402,87,37,191,85,276
"6",6,-0.23,-0.33037037037037,0.0287096774193549,1.71113636363636,0.569051094890511,0.222028903525879,0.182255329899668,0.650304645394775,0.606262289406818,0.637738575844604,0.343156788260071,0.55392932324941,0.236220441851146,0.38455392422501,0.201285538823447,-0.450546042514296,-0.903426193649822,0.187321086954391,-0.147449552187746,0.243226169141909,0.894603849566055,1.26793685344916,1.11328820383516,1.35997413100138,1.0322509825473,0.517619756952156,0.742138518894037,0.00590597090421829,0.114902817642518,0.00153318525228729,-0.0694194301904751,-0.130990104729201,0.657724360059065,1.80562709199567,0.944700043043215,0.255120362167982,0.354043251152139,0.19101874187332,0.277185592853269,0.167531675922477,-0.569446151762534,-0.824902125956863,0.283334505615205,1.26235331296988,0.616343991965525,0.430607291381584,0.562921916498461,1.03211421450293,2.34890087102146,1.27305609412091,0.785541574307333,0.711394903403128,0.000574777994233333,7.31049665247951e-11,1.71106218083139e-08,0.184753098965413,0.194460487332009,0.582829467476402,0.112082198679033,99,27,186,88,274
"7",7,0.718488372093023,1.18452380952381,-0.0872727272727273,0.516941176470588,0.101544117647059,0.060740053441107,0.455381669618025,-0.508097669589923,-0.0587253307706108,-0.354720006574037,0.401138822776765,0.5343836340084,0.239194940463828,0.323813512131956,0.192991309478116,-0.725477592002148,-0.591991006966072,-0.976911138183228,-0.693388152256669,-0.732976022480368,0.846957698884362,1.50275434620212,-0.0392842009966189,0.575937490715447,0.0235360093322946,0.879645174833587,0.394123931663928,0.0336535011439429,0.85608861972331,0.0660608937236535,0.356662562449872,0.958681691946569,-0.821241686825196,0.143230976911064,-0.495022991737932,0.285689740436497,0.346406671846256,0.192942902417054,0.244223424727603,0.161741307119034,-0.203279039558258,0.279737091123522,-1.19940282663525,-0.335438139736067,-0.812030128503671,0.916604164458003,1.63762629276962,-0.443080547015145,0.621900093558194,-0.178015854972193,0.211875012279323,0.00564874313133235,2.07747216495191e-05,0.557556236108923,0.0022090516941613,0.229190301994966,0.133640955862965,0.469475164936281,0.299039927915047,86,42,187,85,272
"8",8,-0.0225609756097562,-0.0728260869565217,0.0314285714285714,1.49471153846154,0.590919117647059,0.0152308375671792,0.784261920721394,0.43412632935949,1.19358656866467,0.708437083964088,0.373743084023347,0.540621265225805,0.248720775244323,0.345056527608294,0.20346381139038,-0.717292146589508,-0.275336288397659,-0.0533574323262642,0.51728820192196,0.309655341481694,0.747753821723866,1.84386012984045,0.921610091045245,1.86988493540737,1.10721882644648,0.967493479273594,0.146872355361268,0.0809089098523821,0.000541974694023173,0.000497902120396576,0.0325068476158528,-0.0598560635186034,0.0115195519525621,1.56139149561066,0.519777152909268,0.271639206336842,0.34917333925141,0.19905121383359,0.256193289622988,0.169013780910738,-0.499896213593402,-0.744223232812954,-0.378613658240255,1.05926187486877,0.188516229433279,0.564909908825108,0.624511105775747,0.401652762145379,2.06352111635256,0.851038076385257,0.90474519660112,0.863891796630633,0.953850345966906,1.09722475549745e-09,0.00210253065372701,0.393127541397166,0.00685443157920127,0.303512342711132,0.428714419758613,82,46,168,104,272
"9",9,-0.674810126582278,0.0371794871794871,0.348263157894737,1.52260869565217,0.731382978723404,-0.339256281809499,0.444361826350197,0.406321321405829,1.20936218759932,0.686442202329736,0.408205542968611,0.654590919633331,0.227689479301846,0.347830915983415,0.192973151512305,-1.13932444431759,-0.838612800738084,-0.0399418576844681,0.527626119562247,0.308221775382427,0.460811880698595,1.72733645343848,0.852584500496126,1.89109825563639,1.06466262927704,0.405921768486778,0.497239898072502,0.0743357201139683,0.000507307475482,0.000374842768743999,-0.65464052624094,-0.0726310310842979,0.322101801139581,1.53924345012869,0.75589276946442,0.2891800573557,0.393259764116009,0.185369999331106,0.257722960440694,0.161720199378407,-1.22142302370534,-0.843406005320392,-0.0412167213636012,1.03411572967589,0.438927003110106,-0.0878580287765399,0.698143943151796,0.685420323642763,2.04437117058149,1.07285853581873,0.0235875436685201,0.853472418967633,0.082278570587395,2.3368367241261e-09,2.95277606676692e-06,0.363124540744909,0.00346812458402527,0.39295919355288,0.449878511335541,79,39,190,92,282
"10",10,0.264302325581395,0.679767441860465,-0.0575675675675676,1.41616279069767,0.410110701107011,0.135487726524309,0.741371855399163,0.305742580747285,0.960744037764642,0.545873421554298,0.332602054058118,0.500885169571403,0.248923543135803,0.366592618723067,0.208110831491184,-0.516400320613646,-0.240345037351024,-0.182138598702992,0.242235708069207,0.137983687038892,0.787375773662264,1.72308874814935,0.793623760197562,1.67925236746008,0.953763156069704,0.683745910894397,0.138840320395818,0.21934975894526,0.00877390794431887,0.00871608576444594,0.165575545435896,0.658607056070617,-0.148121344362523,1.36045013310899,0.465632070426267,0.249216415892023,0.332322502798701,0.199168554142002,0.267774196497164,0.172214062647829,-0.322879654068625,0.00726691933295243,-0.538484537333763,0.835622351985396,0.128098710005199,0.654030744940417,1.30994719280828,0.242241848608718,1.88527791423258,0.803165430847336,0.50644419536781,0.047498152556252,0.457058929332801,3.76270128388256e-07,0.00685519098894272,0.390478513992176,0.0518148493926789,0.307368193841869,0.406423354224576,86,43,185,86,271
