"","D","E","F","G","H"
"1","-0.052","0.79","0.748","1.665","0.913"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.509(0.47)","NaN(NA)","0.776(0.195)","1.121(0.45)","0.838(0.179)"
"5","-0.045(0.318)","0.802(NA)","0.764(0.163)","1.666(0.309)","0.928(0.152)"
"6",NA,NA,"0.788(0.357)",NA,"0.851(0.32)"
"7",NA,NA,"0.755(0.351)",NA,"0.788(0.351)"
"8","-0.045(0.699)",NA,"0.766(0.355)","1.681(0.675)","0.787(0.359)"
"9","-0.026(0.711)",NA,"0.771(0.326)","1.668(0.69)","0.923(0.319)"
