"","D","E","F","G","H"
"1","-0.51","0.371","0.365","1.289","0.531"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.089(0.46)","NaN(NA)","0.389(0.195)","0.706(0.45)","0.446(0.179)"
"5","-0.504(0.314)","0.374(NA)","0.385(0.163)","1.298(0.309)","0.554(0.152)"
"6",NA,NA,"0.396(0.357)",NA,"0.465(0.32)"
"7",NA,NA,"0.369(0.351)",NA,"0.399(0.353)"
"8","-0.492(0.697)",NA,"0.374(0.352)","1.28(0.675)","0.394(0.357)"
"9","-0.485(0.708)",NA,"0.382(0.323)","1.277(0.693)","0.533(0.317)"
