"","D","E","F","G","H"
"1","-0.986","0.013","-0.011","0.887","0.15"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.356(0.449)","NaN(NA)","-0.003(0.196)","0.347(0.451)","0.061(0.18)"
"5","-0.98(0.309)","0.002(NA)","0.002(0.164)","0.886(0.309)","0.162(0.152)"
"6",NA,NA,"0.005(0.358)",NA,"0.092(0.321)"
"7",NA,NA,"0.004(0.352)",NA,"0.031(0.354)"
"8","-0.983(0.677)",NA,"0.003(0.355)","0.884(0.674)","0.024(0.361)"
"9","-0.961(0.686)",NA,"0.01(0.327)","0.879(0.693)","0.155(0.32)"
