"","Sim","trued_01","trued_11","trued_00","trued_10","trued_sp","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,0.108684210526316,0.378301886792453,0.349947368421053,1.28975308641975,0.630848708487085,0.620792023664918,0.361171555928206,1.22461538461538,0.603823360950467,0.27268918464707,0.273873466160546,0.372620600997182,0.394605383658692,1.22461538461538,0.851994783618202,0.27268918464707,0.295552812235121,0.399353127801399,0.397741869649614,1.2059125412865,0.806559413485103,0.281567424905912,0.294792994537443,0.277202547790711,0.393592033620215,1.28006478015851,1.0028622323678,0.285140062577395,0.285150771373779
"2",2,-0.043625,-0.0248648648648649,-0.184577114427861,2.00463414634146,0.449752650176678,0.429478179426257,0.325844581106663,1.82755555555556,1.3980773761293,0.273175543063812,0.231627656198426,0.59148374715708,0.366507665118805,1.82755555555556,1.23607180839848,0.273175543063812,0.272185919453095,0.132442659044775,0.359909561117337,1.71866328390803,1.58622062486325,0.283487361621154,0.248094505546218,0.630629438079832,0.360460727265337,2.04091382474923,1.4102843866694,0.280602598310269,0.236534862072132
"3",3,-1.02650485436893,1.09794117647059,0.222119565217391,1.23556962025316,0.526539923954373,0.441259258492588,0.347146871307409,1.02727272727273,0.586013468780139,0.273577975851072,0.266715099323099,0.12714931124673,0.415845757325347,1.02727272727273,0.900123416025998,0.273577975851072,0.323514506508084,0.46703248987605,0.369877819806166,1.09997268404096,0.632940194164912,0.259495916903885,0.283428481434597,0.270983038288517,0.375358999149518,1.06599922472476,0.795016186436241,0.285027687022201,0.262030957968999
"4",4,-0.0122368421052631,-1.32170731707317,0.617860696517413,1.37463414634146,0.837137809187279,0.682539521614181,0.337537045259948,1.21464788732394,0.532108365709763,0.270769693850437,0.244561075117245,0.55086840615039,0.365593129759019,1.21464788732394,0.663779481173554,0.270769693850437,0.253784815339868,0.557321581437929,0.367553705751608,1.18724956629453,0.629927984856603,0.280424551618005,0.254079112742356,0.553810872504335,0.363752271488206,1.30500813508309,0.751197262578751,0.278153261925774,0.247221075201667
"5",5,-1.13712643678161,1.14162162162162,-0.202041884816754,-0.0647058823529412,-0.159746376811594,0.0372814283742495,0.341339195688117,0.919784172661871,0.882502744287621,0.267805398907324,0.265940966631252,-0.240334171496267,0.386926332977176,0.919784172661871,1.16011834415814,0.267805398907324,0.302017836991596,-0.0202749308901213,0.373857542678369,1.04494254891239,1.06521747980251,0.270311168746994,0.28232062062269,-0.230679452897609,0.380081338706355,1.00807633263431,1.23875578553192,0.280233722145084,0.273250327766122
"6",6,-0.23,-0.33037037037037,0.0287096774193549,1.71113636363636,0.569051094890511,0.688145971679652,0.327630938570928,1.4230534351145,0.734907463434852,0.273412858287314,0.293618587158711,0.45952737397738,0.415459218353924,1.4230534351145,0.963526061137124,0.273412858287314,0.326074567031139,0.535298619183432,0.390593586197059,1.42231592572261,0.887017306539177,0.266938413945934,0.316224958033165,0.548025213811734,0.395294659579229,1.5435664340205,0.995541220208767,0.297619472482055,0.290519343863386
"7",7,0.718488372093023,1.18452380952381,-0.0872727272727273,0.516941176470588,0.101544117647059,0.000292061784556358,0.37021393366871,0.762647058823529,0.762354997038973,0.257009980514402,0.297135268014534,-0.470164731124745,0.387594555305493,0.762647058823529,1.23281178994827,0.257009980514402,0.314003245232994,0.246065821815165,0.397864785197157,1.1333065893533,0.887240767538136,0.27673154475129,0.308015474575579,-0.586357718996541,0.388879472202114,0.833799765362315,1.42015748435886,0.26594614830618,0.296655965983783
"8",8,-0.0225609756097562,-0.0728260869565217,0.0314285714285714,1.49471153846154,0.590919117647059,0.769481432522921,0.35234056244006,1.49593984962406,0.726458417101139,0.268931609903119,0.285756196769226,0.674125940395933,0.388247635398819,1.49593984962406,0.821813909228127,0.268931609903119,0.289613796873918,0.691577129948345,0.397984146408481,1.51126681110848,0.819689681160131,0.286357128433147,0.309095165755668,0.595356495552392,0.393737460719863,1.54104612347465,0.945689627922262,0.282368669685494,0.298903507507336
"9",9,-0.674810126582278,0.0371794871794871,0.348263157894737,1.52260869565217,0.731382978723404,0.399849856419191,0.346551071790728,1.51006802721088,1.11021817079169,0.248104433635481,0.279872173794618,0.563659720019427,0.353774364248208,1.51006802721088,0.946408307191457,0.248104433635481,0.26779180147338,0.126355576867871,0.388415234423919,1.41812750600987,1.291771929142,0.264187178330847,0.296081369218122,0.37072013481292,0.374904032477979,1.61471608836242,1.24399595354951,0.252630832336273,0.292000305882655
"10",10,0.264302325581395,0.679767441860465,-0.0575675675675676,1.41616279069767,0.410110701107011,0.128824394125553,0.36941714043242,1.59212598425197,1.46330159012642,0.285617407411181,0.271564397746271,0.354792807421026,0.396103772125066,1.59212598425197,1.23733317683094,0.285617407411181,0.301148410454495,-0.392373139466122,0.402777319372284,1.21924300316664,1.61161614263276,0.281662998793848,0.299287194474724,0.309736136447541,0.401245770000273,1.71068786724707,1.40095173079953,0.30315105624953,0.27460242479878
