,stratum_01,stratum_10,stratum_00,stratum_11,stratum_s0
Bayesian ITT,0.63,-0.54,0.008,NA,-0.089
Bayesian Delta,0.007,-0.002,0.012,-0.011,0.012
AdACE methodA,NA,NA,0.016,NA,-0.058
AdACE methodB,NA,NA,0.015,NA,-0.12
PS Non-Cov-Adj,0.003,-0.004,0.013,NA,-0.126
PS Cov-Adj,0.025,-0.008,0.021,NA,0.004
