,stratum_01,stratum_10,stratum_00,stratum_11,stratum_s0
Bayesian ITT,0.26,0.877,0.82,0.193,0.92
Bayesian Delta,0.267,0.98,0.803,0.59,0.987
AdACE methodA,NA,NA,0.527,NA,0.737
AdACE methodB,NA,NA,0.433,NA,0.513
PS Non-Cov-Adj,0.067,0.777,0.48,NA,0.647
PS Cov-Adj,0.063,0.8,0.54,NA,0.817
