,stratum_01,stratum_10,stratum_00,stratum_11,stratum_s0
Bayesian ITT,0.485,-0.421,-0.002,0.008,-0.127
Bayesian Delta,0.003,0.002,0.008,0.005,0.015
AdACE methodA,NA,NA,0.011,NA,-0.094
AdACE methodB,NA,NA,0.021,NA,-0.193
PS Non-Cov-Adj,-0.026,0.033,0.017,NA,-0.11
PS Cov-Adj,-0.003,0.025,0.025,NA,-0.023
