,stratum_01,stratum_10,stratum_00,stratum_11,stratum_s0
Bayesian ITT,0.147,0.097,0.257,NA,0.3
Bayesian Delta,0.73,0.713,0.407,NA,0.453
AdACE methodA,NA,NA,0.03,NA,0.053
AdACE methodB,NA,NA,0.05,NA,0.043
PS Non-Cov-Adj,0.333,0.253,0.043,NA,0.04
PS Cov-Adj,0.3,0.243,0.043,NA,0.077
