,stratum_01,stratum_10,stratum_00,stratum_11,stratum_s0
Bayesian ITT,0.599,-0.583,0.025,NA,-0.085
Bayesian Delta,0.005,0.009,0.021,0.003,0.023
AdACE methodA,NA,NA,0.031,NA,-0.066
AdACE methodB,NA,NA,0.004,NA,-0.131
PS Non-Cov-Adj,0.018,-0.009,0.009,NA,-0.136
PS Cov-Adj,0.024,-0.012,0.017,NA,0.002
