"","D","E","F","G","H"
"1","-0.428","0.382","0.366","1.185","0.62"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.047(0.369)","0.436(0.584)","0.371(0.23)","0.763(0.362)","0.496(0.195)"
"5","-0.424(0.269)","0.373(0.366)","0.362(0.187)","1.193(0.265)","0.624(0.163)"
"6",NA,NA,"0.404(0.382)",NA,"0.513(0.343)"
"7",NA,NA,"0.365(0.378)",NA,"0.404(0.38)"
"8","-0.443(0.589)",NA,"0.378(0.39)","1.224(0.576)","0.509(0.368)"
"9","-0.424(0.58)",NA,"0.385(0.36)","1.22(0.568)","0.593(0.336)"
