,Sim,trued_H_01,trued_D_11,trued_I_00,trued_B_10,trued_IB_sp,ITT_H,ITT_D,ITT_I,ITT_B,ITT_IB,ITT_se_H,ITT_se_D,ITT_se_I,ITT_se_B,ITT_se_IB,ITT_lb_H,ITT_lb_D,ITT_lb_I,ITT_lb_B,ITT_lb_IB,ITT_ub_H,ITT_ub_D,ITT_ub_I,ITT_ub_B,ITT_ub_IB,ITT_pvalue_H,ITT_pvalue_D,ITT_pvalue_I,ITT_pvalue_B,ITT_pvalue_IB,delta_H,delta_D,delta_I,delta_B,delta_IB,delta_se_H,delta_se_D,delta_se_I,delta_se_B,delta_se_IB,delta_lb_H,delta_lb_D,delta_lb_I,delta_lb_B,delta_lb_IB,delta_ub_H,delta_ub_D,delta_ub_I,delta_ub_B,delta_ub_IB,delta_pvalue_H,delta_pvalue_D,delta_pvalue_I,delta_pvalue_B,delta_pvalue_IB,PCP_H,PCP_D,PCP_I,PCP_B,nH,nD,nI,nB,nIB
83,83,0.362222222,-0.036052632,0.13970297,1.184204545,0.456655172,0.279324267,0.79711376,0.432959299,0.913465672,0.584187398,0.372388209,0.567843539,0.216982185,0.32823807,0.181875162,-0.450543211,-0.315839124,0.007682032,0.270130876,0.22771863,1.009191745,1.910066644,0.858236567,1.556800469,0.940656165,0.453201157,0.160391528,0.046002763,0.005386937,0.001318033,0.35881722,-0.05253862,0.141722104,1.265526298,0.534031932,0.270792973,0.359758554,0.178232131,0.246755131,0.153857961,-0.171927254,-0.757652428,-0.207606454,0.781895127,0.232475869,0.889561693,0.652575188,0.491050662,1.749157468,0.835587995,0.185150905,0.883890951,0.42652356,2.91792190743045e-07,0.000518638,0.397649529,0.008561201,0.412123854,0.42331872,72,38,202,88,290
84,84,0.728358209,1.161111111,0.932990654,1.330540541,1.035138889,0.789257325,0.98924522,0.958507205,1.176146217,1.016844571,0.353858702,0.638212184,0.214600098,0.378554942,0.187433091,0.095707013,-0.261627675,0.537898742,0.434192165,0.649482463,1.482807637,2.240118114,1.379115668,1.91810027,1.384206678,0.025718861,0.121135373,7.95168156886294e-06,0.001890369,5.79198367045564e-08,0.702385453,1.14220033,0.935790224,1.287328656,1.021233593,0.26088691,0.386916141,0.176638279,0.274196225,0.157828125,0.191056506,0.383858628,0.589585559,0.749913931,0.711896152,1.213714401,1.900542031,1.281994888,1.824743382,1.330571034,0.007096139,0.003156598,1.17220949835684e-07,2.66714336882856e-06,9.765166453235e-11,0.338960992,0.003831335,0.460633954,0.397096626,67,45,214,74,288
85,85,-0.124366197,-0.363888889,0.726698113,1.139135802,0.840716724,0.149422843,0.173664511,0.67016872,0.575164868,0.643806043,0.376977216,0.619233102,0.200485895,0.339969325,0.172890037,-0.589438924,-1.040010067,0.277223586,-0.091162766,0.304947798,0.888284609,1.387339089,1.063113855,1.241492501,0.982664288,0.691831344,0.779131554,0.000829608,0.090681441,0.000196255,-0.163466707,-0.345805611,0.714198959,1.111932083,0.826689135,0.273234873,0.379197195,0.166951605,0.253289334,0.147385671,-0.698997217,-1.089018458,0.386979826,0.615494111,0.537818528,0.372063803,0.397407235,1.041418092,1.608370055,1.115559743,0.549663504,0.36179958,1.88681542541147e-05,1.13367315719426e-05,2.03475847282419e-08,0.224742634,0.131432897,0.575639238,0.207572555,71,36,212,81,293
86,86,0.525180723,1.668387097,1.139794872,1.002857143,1.096223776,0.653119207,0.792802033,0.725815909,0.914272927,0.774022551,0.338824053,0.611960077,0.212384307,0.375606664,0.185141481,-0.010963734,-0.406617679,0.309550317,0.178097393,0.411151916,1.317202148,1.992221745,1.142081501,1.650448462,1.136893187,0.053904178,0.195143434,0.000632072,0.01492791,2.9060229635558e-05,0.392124641,1.581927235,0.777933082,0.850996272,0.795869172,0.252647964,0.37676171,0.175134515,0.272513904,0.156197112,-0.103056268,0.843487853,0.43467574,0.316878834,0.489728458,0.887305551,2.320366617,1.121190425,1.38511371,1.102009887,0.120648017,2.68395558956636e-05,8.9160714175085e-06,0.001791621,3.48212663814351e-07,0.318190639,0.057734568,0.520637835,0.289014424,83,31,195,91,286
87,87,0.198349515,1.402058824,0.529640719,1.2696875,0.799771863,0.812516859,1.202862278,0.540420007,0.993450401,0.695644036,0.34650634,0.509183167,0.226149652,0.342842757,0.190014031,0.133376912,0.204881609,0.097174834,0.321490945,0.323223379,1.491656806,2.200842947,0.98366518,1.665409857,1.068064693,0.019033046,0.018160121,0.016864133,0.003759276,0.000251219,0.235709298,1.374184192,0.498971905,1.314086878,0.768679065,0.256889732,0.335579412,0.184366349,0.254909441,0.159642038,-0.267785324,0.716460631,0.137620502,0.814473554,0.45578642,0.739203921,2.031907753,0.860323308,1.813700202,1.081571711,0.35885425,4.22241694117975e-05,0.006801393,2.53478539491425e-07,1.4718765027899e-06,0.096841042,0.243072961,0.574006099,0.132803202,103,34,167,96,263
88,88,-0.078452381,2.119375,0.669746193,1.256896552,0.849612676,1.237295811,1.725601996,0.720482657,1.253186344,0.878609208,0.34927444,0.620754604,0.230486244,0.405559349,0.202058869,0.552730487,0.508945328,0.268737919,0.458304627,0.482581102,1.921861134,2.942258664,1.172227394,2.048068062,1.274637314,0.000396392,0.005438474,0.001772469,0.002001433,1.3720728953448e-05,-0.094701684,1.756423495,0.722546473,1.283246392,0.902283033,0.258440925,0.380497342,0.187258861,0.288140095,0.168078298,-0.601236589,1.010662408,0.35552585,0.718502182,0.572855621,0.411833221,2.502184581,1.089567097,1.847990601,1.231710444,0.714040842,3.90970512054167e-06,0.000114065,8.4461932038371e-06,7.95129336816913e-08,0.002543333,0.281798336,0.709104198,0.007339574,84,32,197,87,284
89,89,0.210705882,1.193870968,0.636701571,1.365698925,0.875422535,1.09153696,1.271651384,0.995149189,1.153723407,1.047338666,0.41398066,0.624877414,0.239905565,0.369877715,0.201686644,0.280149775,0.046914158,0.524942923,0.428776406,0.652040108,1.902924144,2.496388609,1.465355456,1.878670407,1.442637224,0.008372032,0.041846711,3.35264781107236e-05,0.001813414,2.07042889943665e-07,0.195755283,1.260616112,0.990204813,1.368505721,1.109323784,0.29222882,0.382415659,0.19340193,0.269689594,0.167813349,-0.37700268,0.511095193,0.611143995,0.839923829,0.780415663,0.768513245,2.010137031,1.36926563,1.897087613,1.438231905,0.502940746,0.000979132,3.05645156184475e-07,3.88774833326444e-07,3.83122422675797e-11,0.004682804,0.304789079,0.668036036,0.040149242,85,31,191,93,284
90,90,0.620697674,-0.274594595,0.324010695,0.777111111,0.471227437,0.573614049,0.802508481,0.606846677,0.793083908,0.672406716,0.393670988,0.564557955,0.24054037,0.339494655,0.19687713,-0.197966908,-0.304004777,0.135396216,0.12768661,0.286534631,1.345195007,1.90902174,1.078297138,1.458481205,1.0582788,0.145091546,0.155176935,0.011640886,0.019487497,0.000636972,0.651027478,-0.252122572,0.429936267,0.907347867,0.609607299,0.281916454,0.359230517,0.19380453,0.253063425,0.164463096,0.098481381,-0.956201448,0.050086368,0.411352668,0.287265554,1.203573576,0.451956304,0.809786166,1.403343065,0.931949044,0.02092737,0.482778558,0.026527466,0.000336489,0.000210018,0.401083137,0.001754254,0.325465013,0.474753411,86,37,187,90,277
91,91,0.030675676,1.134615385,0.841581633,0.776153846,0.822956204,0.682986867,0.877162007,0.665196369,0.883339473,0.726946755,0.350893323,0.579204735,0.217643563,0.357540426,0.18614556,-0.004751408,-0.258058413,0.238622823,0.182573116,0.362108162,1.370725141,2.012382427,1.091769914,1.58410583,1.091785349,0.051603938,0.129918136,0.002240445,0.01348865,9.41242447993762e-05,-0.015307082,1.191286296,0.723207158,0.784835992,0.740722722,0.259364079,0.364782067,0.178686511,0.262972742,0.15691352,-0.523651336,0.476326584,0.372988033,0.269418889,0.433177874,0.493037172,1.906246009,1.073426284,1.300253094,1.048267569,0.952937979,0.001091754,5.18003733271932e-05,0.002840639,2.35173843576852e-06,0.149777081,0.187649451,0.587299332,0.12659261,74,52,196,78,274
92,92,0.375555556,0.714909091,0.69244186,1.587831325,0.983882353,0.414009134,0.947689305,0.84549925,1.385999663,1.033585398,0.359763152,0.557225022,0.24690283,0.373485097,0.207807577,-0.291113686,-0.14445167,0.361578596,0.653982324,0.626290032,1.119131954,2.039830279,1.329419905,2.118017003,1.440880763,0.249821732,0.088993701,0.000616111,0.00020645,6.56659709274976e-07,0.309610854,0.741790685,0.704750195,1.609492954,1.031558416,0.264163758,0.356125121,0.197906129,0.271520646,0.17200928,-0.208140598,0.043798273,0.31686131,1.077322266,0.694426423,0.827362306,1.439783097,1.092639081,2.141663642,1.36869041,0.241180446,0.037255816,0.000369399,3.07206948768624e-09,2.00861127730434e-09,0.358680482,0.003253841,0.317561749,0.444987706,90,55,172,83,255
