"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","trued_AC_sp","trued_AC_sp_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,-0.412307692307692,-0.307586206896552,0.841940298507463,0.740496461804201,2.20181818181818,2.4641198156682,1.11065868263473,1.10787507171543,2.66263536618138,0.644816342947932,1.39973659933447,4.09182657283281,2.75383799922188,0.646297541778195,1.38464048898098,3.98767012596801,0.776556714311298,0.347759935982055,0.0977137308509319,1.43954524242587,0.800268842904287,0.324845455274835,0.180037210247584,1.39214378201737,-0.672448742128229,0.635909924952334,-1.95942345363522,0.703491570921181,-0.681092383899119,0.647028374705269,-1.941764286705,0.657239108504098,1.15661692547897,0.356969822362255,0.473790356855895,1.8646829547728,1.20711788011147,0.314805779670094,0.560494457944188,1.75285538753007,0.631390976745037,0.821275648678738,0.524590341223271
"2",2,-0.620350877192982,-0.504310344827586,0.742185185185185,1.17697821195324,1.78946428571429,2.7259375,0.922085889570552,1.50202672689629,2.25239228773306,0.548091030462474,1.12267314878676,3.35704066830987,2.0013759044331,0.513772648292252,1.02436121423718,3.01256473714517,1.32907269293271,0.37454434218875,0.637838684928128,1.94984695281013,1.08761054636782,0.346279188044955,0.46044723245062,1.73112805578734,-0.675022538938169,0.590454722797076,-1.87431621970333,0.463856236752459,-0.956710729215807,0.684852994205265,-2.3801337990078,0.249391804828421,1.11243884413047,0.368317420936474,0.314812170386468,1.71228829556605,1.15033168462031,0.328162308956968,0.475734156278257,1.72995855762892,0.656184758503678,0.816384805262569,0.603272520067478
"3",3,-0.203484848484849,0.0197235023041474,0.497228464419476,0.799836663673103,1.62375,1.16167741935484,0.692538699690402,0.871966451711961,1.13452809165158,0.667748072506613,-0.143392569235353,2.46287505460768,1.29473315809252,0.668703965655879,0.0100061241700605,2.55621165319776,0.677607416537573,0.335899044353558,-0.050608779590415,1.32092896341618,0.731155516236492,0.327396433613464,0.0749488554118527,1.29676034504334,0.349215075174148,0.681879389496576,-0.803181996035211,1.6302297327913,0.505298319660848,0.646585205357453,-0.537956096633953,1.73245898633695,0.66543213526551,0.331944042039618,0.0273738428542262,1.33099254578547,0.802318452436198,0.316562031954758,0.168495160349949,1.34378317118994,0.640961675228732,0.798323636090376,0.632385676008377
"4",4,0.400980392156863,0.26287037037037,0.994468864468865,0.910262479871176,0.881194029850746,0.720267379679144,0.972147058823529,0.873464839424142,0.657015701292691,0.724703624551516,-0.688531225247881,2.06538255257424,0.754017006646791,0.786322570544557,-0.679759093212215,2.34685307290824,0.971142818029416,0.370884184501378,0.310410186926869,1.6087676711717,0.981634341691842,0.338551938195795,0.351192191932155,1.64763137286854,-0.259093850457203,0.588525578494505,-1.24358194503456,0.845771318622888,-0.0137798887487091,0.620137873540113,-1.23853247854203,1.34196694622765,0.750556953896437,0.381070258505638,0.0595530511881408,1.46350904538903,0.938610352341728,0.356790641071638,0.214148574808706,1.65283583310703,0.610398859729208,0.829423298437312,0.558709128095361
"5",5,0.593703703703704,-0.709259259259259,0.049080459770115,0.217844635092255,0.0481428571428572,-0.17325,0.0488821752265861,0.105555717832627,-0.00517283378880326,0.703762072425785,-1.41582719002399,1.47456888077541,0.077780053580992,0.752256936509834,-1.32574306158391,1.37339648922188,0.0716984329504156,0.369229213457058,-0.569979900007308,0.728495367110317,0.160097311379548,0.336665229340441,-0.516210449070771,0.821184389781514,-0.384677075777234,0.682955818419666,-1.64343753661846,1.10429609688055,-0.362851413989169,0.7142455353762,-1.63968412745635,1.11039062514783,-0.118239618179356,0.380482653232876,-0.866924734351153,0.710765148760459,0.150381584507399,0.339026320033893,-0.474721070540759,0.807477735901017,0.541257491750014,0.825806756225502,0.581776977074733
"6",6,-0.0267924528301886,0.521971014492754,0.548081180811808,0.864771434820647,1.76484375,1.60138888888889,0.780537313432836,0.970174061920388,1.75193097603502,0.726725499218339,0.400925562255321,3.19766957506483,1.697154749976,0.712742022666518,0.336044077740348,3.15036985108391,0.908013449817247,0.331160410891463,0.181703165400572,1.51179289084461,0.843215183263766,0.294895709952515,0.296877126678682,1.4586446946636,0.0965383734789017,0.633454414691404,-1.08577406053785,1.37799182787944,0.252402363443626,0.649751671233755,-0.88526404196076,1.5242842477418,1.00657277231604,0.389060333554249,0.321798892878457,1.67011456989036,0.907442253690254,0.296090286229767,0.372689664686079,1.45913437216638,0.540093995295721,0.814180856729223,0.644751502508282
"7",7,-0.693818181818182,-0.731455026455026,0.971861313868613,0.491678832116788,0.930322580645161,-0.221650992685475,0.964196428571429,0.381251594613749,0.93084065295585,0.511670527656987,-0.0117822989326449,2.06600718904709,1.13627120545896,0.530260949091915,0.00526752601798095,2.29290308184109,0.316709346999209,0.366032551988288,-0.31242252098576,1.08458343872119,0.528808907502478,0.339954832313864,-0.0857620349012267,1.2773734233668,-0.790908036577308,0.661836343937336,-1.96232224925217,0.343451856133508,-0.44745677896228,0.687632454461799,-1.73479405682234,0.827057896853632,0.392587614338401,0.345482799437612,-0.256988940286136,1.10700939794459,0.646250468974479,0.315165096987704,0.0881778750292131,1.28894831960862,0.635001232852401,0.8221892989764,0.596597504300792
"8",8,-0.212962962962963,-0.154620689655172,0.756509803921569,1.1235384331116,1.68194805194805,1.62852380952381,0.971144578313253,1.2598464888405,1.63620278271665,0.523362634603274,0.512572226994855,2.56553642523582,1.90918134047567,0.528527633176038,0.938037380092717,2.90955782335785,0.970998899800266,0.323468575371615,0.324831532156217,1.5595527500745,1.03699315825101,0.310264474614685,0.482050525467472,1.65052948139152,0.659029326465308,0.788412662849111,-0.956264152450808,2.04799223707389,0.616138594964801,0.801164020969629,-0.869059946869733,2.20175157410126,1.07608041096205,0.309111240217158,0.553445082878415,1.65246473284379,1.23653448879754,0.285903706462095,0.707512993825567,1.78763270774331,0.659711578508708,0.792306471800363,0.551090935180976
"9",9,-0.537592592592593,-0.4024,0.895241635687732,1.03042857142857,1.26742424242424,1.13630414746544,0.968567164179104,1.07182748538012,1.60153440865531,0.687894146682032,0.280752662049872,3.01198713495935,1.35973464566693,0.682857843923751,0.110663950516197,2.55539186737012,1.00176244998289,0.363386757918472,0.257851587873211,1.64726267043649,0.763155405645289,0.336546961369129,0.0282019373111378,1.38323330174066,-0.651824075451998,0.815650926728858,-2.50453513822161,0.892278952534859,-0.7851900019894,0.819120581302313,-2.686034897579,0.682343333940559,1.07136655495487,0.370357663222887,0.351675226839359,1.70528885045073,0.859641749898257,0.34219500884012,0.150212097764565,1.52495070872611,0.630529530822788,0.816779918577292,0.550491208147351
"10",10,-0.19280701754386,0.707727272727273,0.759962264150943,0.661394208846329,1.94878787878788,1.38615773508595,0.997009063444109,0.963100409536346,1.98277437747494,0.596773815410507,0.887038898350577,3.12716003419226,1.69151171343375,0.600449795688779,0.583760045738284,2.92534907607475,0.785719258001245,0.365811482950201,0.0987048658044005,1.50050485990162,0.464307205107651,0.359274655336774,-0.272304979274334,1.093295750092,-0.189439766048025,0.608893533550094,-1.26640582477946,1.09428994137343,-0.589272198861459,0.575385658285366,-1.6913969883472,0.588469465897813,0.880237073517393,0.327399164218393,0.257210092695333,1.44850814833867,0.736860993876567,0.326877840266777,0.117730325503467,1.32084898850832,0.760610992468015,0.764044651606781,0.675138353574802
"11",11,-0.0161818181818182,-0.616515151515152,1.0148288973384,0.655904347826087,1.08826086956522,0.9475,1.03009036144578,0.718323876036665,1.30773883473642,0.679124136210159,0.00559681401638472,2.60684780182906,1.32156935893142,0.660827687534527,-0.0197407258091897,2.46974660654242,0.650032116503072,0.360748016653024,-0.0592961054283957,1.33085390124341,0.702755178870276,0.336898297739105,0.0070507180474732,1.33234259660324,-0.802877973054104,0.670531866537336,-2.03676517716183,0.546006371653703,-0.89247953775207,0.734757062636125,-2.15451101366719,0.503803278070478,0.646337472301481,0.379694584597185,-0.105344574317647,1.3503424710316,0.783744278512813,0.332058878296837,0.107668892886025,1.37556391988942,0.578991008015682,0.837705171159421,0.48543063714995
