"","stratum_01","stratum_10","stratum_00","stratum_11","stratum_s0"
"Bayesian ITT",0.057,0.357,0.57,NA,0.65
"Bayesian Delta",0.437,0.883,0.63,NA,0.783
"AdACE methodA",NA,NA,0.21,NA,0.313
"AdACE methodB",NA,NA,0.183,NA,0.213
"PS Non-Cov-Adj",0.107,0.49,0.19,NA,0.2
"PS Cov-Adj",0.097,0.487,0.243,NA,0.393
