"","D","E","F","G","H"
"1","-0.884","-0.021","0.004","0.806","0.252"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","-0.399(0.363)","-0.013(0.574)","0.002(0.231)","0.385(0.363)","0.125(0.196)"
"5","-0.881(0.265)","-0.016(0.362)","0.011(0.188)","0.808(0.266)","0.267(0.164)"
"6",NA,NA,"0.015(0.381)",NA,"0.158(0.343)"
"7",NA,NA,"0.025(0.378)",NA,"0.058(0.383)"
"8","-0.91(0.588)",NA,"0.021(0.386)","0.839(0.583)","0.142(0.369)"
"9","-0.887(0.579)",NA,"0.029(0.358)","0.831(0.575)","0.229(0.335)"
