"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","trued_AC_sp","trued_AC_sp_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,0.108684210526316,0.152988019732206,0.349947368421053,0.450424059814753,1.28975308641975,1.47230110159119,0.630848708487085,0.671069285324605,2.20378533096405,0.600215960086151,1.07238685781062,3.32404144126694,2.24280869676871,0.646589405505347,1.02168198790494,3.53894925917521,0.230008123848074,0.397788941743093,-0.463051223390856,1.10233215790945,0.193392748669932,0.377049263252425,-0.516874952124573,0.894168540836423,-0.185213091663482,0.613821877300242,-1.41984775685976,0.852752146558865,-0.240740020671479,0.575026707296497,-1.39377028248642,0.962419150014156,0.697215527434574,0.368207477805041,-0.00638356017680451,1.53625614306505,0.743242261782272,0.349055365894862,0.134297302234974,1.41313794321111,0.619464226167618,0.707170213770349,0.705601615645506
"2",2,-0.043625,-0.182444444444445,-0.184577114427861,0.424542483660131,2.00463414634146,3.31256038647343,0.449752650176678,1.3062042042042,2.2320706706516,0.543822888650781,1.05997888622015,3.23554525700796,1.70646207121075,0.513436667055032,0.627087842600375,2.6275693014923,0.747598862067766,0.407682693574678,-0.138177528278818,1.64397188183172,0.325055063475794,0.359355608699786,-0.404087061527685,0.990429067673514,0.135536944518953,0.560056554277998,-0.987968855393157,1.26755314373827,0.0836820798486909,0.599020415010665,-1.03499499852015,1.26286756990304,0.823750986599222,0.373372645597705,0.0765554541948336,1.56808454680534,0.719100176901976,0.337884941808605,0.0479642503698862,1.33256963855657,0.701352047108762,0.660026399874792,0.708936342891559
"3",3,-1.02650485436893,-0.37851724137931,0.222119565217391,0.536786900806834,1.23556962025316,0.208246753246753,0.526539923954373,0.457765685019206,0.924066896696625,0.5553583947468,-0.117993424788188,1.91880663376576,0.9299542484195,0.522212585829443,-0.104630219769542,1.896248783507,0.253467444857325,0.373400660848646,-0.475285264329269,0.929991027090884,0.279693448218057,0.349176143416462,-0.404915214128184,0.924068879099519,-0.452763151468042,0.526758719245232,-1.51892613009948,0.677628341206969,-0.28988784076239,0.547940433343298,-1.43923792959417,0.849750541097942,0.395753992019578,0.349689372267368,-0.301488525322802,1.02700524689298,0.436045226785566,0.320666154893723,-0.164747041622035,1.05725253322653,0.720119511250973,0.610255901946939,0.752700046098804
"4",4,-0.0122368421052631,-0.421428571428571,0.617860696517413,0.610098039215686,1.37463414634146,0.95551580202743,0.837137809187279,0.695073419238837,1.11801076957055,0.582638295354225,0.117869534099058,2.28997452758147,1.11456152969438,0.574566737510332,0.0764283371540884,2.30279063639246,0.534917806279826,0.400448484036481,-0.173928987390092,1.2830996177266,0.622105535899454,0.36210358850728,-0.063790299132538,1.27748627360467,-0.381405308790239,0.611422958641451,-1.57082394036904,0.762989495439567,-0.317424236882976,0.590167996904136,-1.40237461564587,0.867452014429344,0.610255841977503,0.3831447110677,-0.0778092538711298,1.29057005855796,0.748509003725195,0.340679005450843,0.116197523938434,1.44074793495812,0.620179767973217,0.737059398846674,0.591179938841524
"5",5,-1.13712643678161,-0.911063492063492,-0.202041884816754,-0.3325831680987,-0.0647058823529412,-0.114457142857143,-0.159746376811594,-0.335690279892874,0.0269584816517774,0.650081491588886,-1.07642708758587,1.23812516872399,0.157024949680065,0.598480658964561,-0.948691467805667,1.42938763230106,-0.294340666877403,0.383467001331933,-0.937665876366328,0.470556286858286,-0.149958005543753,0.334548854883957,-0.750582540273014,0.559190808371037,-1.45081971526593,0.620903915608515,-2.54569369510834,-0.212287597018391,-1.29425111286468,0.636192986022801,-2.31376806019911,-0.0609917265822147,-0.284186756631826,0.380194453911817,-0.932293222716303,0.441109831982793,-0.0822474799756321,0.32441036371195,-0.666974011321744,0.624129778867148,0.564653405854116,0.717613918742994,0.666068290177807
"6",6,-0.23,0.63629705400982,0.0287096774193549,0.135964749536178,1.71113636363636,1.87358139534884,0.569051094890511,0.680396092457161,1.6642699033201,0.560399917193755,0.61052172617194,2.80300884175023,1.57609197766643,0.514536414087496,0.596532575638673,2.64902269854977,0.581764476601365,0.414530257944941,-0.185319320208984,1.43298018295522,0.513187441992961,0.359349276516032,-0.272954629188305,1.18299854362317,-0.124045962597925,0.444100672341701,-0.949233320181737,0.844484359751774,-0.0161635502246105,0.452428418322952,-0.849524564875329,0.942391961105315,0.715245259931432,0.381356556845071,0.00516512962078371,1.51130889941488,0.724436550985277,0.32972675570303,0.0683090558617571,1.32598583714741,0.689739945767054,0.653288482134436,0.707718295378726
"7",7,0.718488372093023,0.0203679653679654,-0.0872727272727273,-0.686376262626263,0.516941176470588,-0.103085585585586,0.101544117647059,-0.394779411764706,0.463379365088644,0.544795146128073,-0.560638321707026,1.56508447694382,0.642745160788653,0.550405479221236,-0.355476273260624,1.6696593985121,-0.34772694777431,0.370530562072487,-0.994546611383937,0.420336635166372,-0.178522273081227,0.357493214219435,-0.73706729166525,0.546261419456452,-1.08037852746485,0.706443732576151,-2.43604693707152,0.20669650517048,-0.816491438064315,0.651820307155617,-1.91137625350516,0.391988826415168,-0.201828708605898,0.338008160110059,-0.841906999600106,0.532902785758564,0.0410774147753195,0.32487230499039,-0.569634372530698,0.639022289357192,0.7306136534061,0.659229943591186,0.647675899468779
"8",8,-0.0225609756097562,1.08998211091234,0.0314285714285714,0.00408111174134995,1.49471153846154,1.53891231964484,0.590919117647059,0.590831935954995,1.14662923503023,0.562838001302523,0.127307579229615,2.25138024990757,1.20771048721824,0.563607815194464,0.118593260695226,2.2389855466021,0.54451114303491,0.386202408568086,-0.127257628602029,1.30984778850833,0.596343191184327,0.360110195120211,-0.0858702063069052,1.33069347292062,0.469441701368879,0.599235807032893,-0.630161286228971,1.61996074631177,0.575378088166482,0.589931330508248,-0.566768349994806,1.59951295576411,0.738663588039878,0.379386242117759,0.0431303316245419,1.47786823928525,0.773667645956107,0.353334769487612,0.0737363148506135,1.51614112810047,0.698758767460136,0.64530962457035,0.648577474577954
"9",9,-0.674810126582278,-0.343095238095238,0.348263157894737,0.187303921568627,1.52260869565217,2.08617021276596,0.731382978723404,0.822956916099773,1.2395498806761,0.597376078936298,0.199755350566347,2.64037106323587,1.03514922578522,0.546542328975889,0.0765092764009861,2.11217314919472,0.561357675176024,0.407828364788486,-0.28382382010417,1.40078788293049,0.254891084463696,0.372034081342628,-0.433711356779767,0.982497956262631,-0.369324755116703,0.569913481117243,-1.39509213554951,0.71220309745891,-0.773139922125462,0.543919137245126,-1.92308607388976,0.186761783297878,0.60059748560398,0.388529354493005,-0.0828562281310491,1.37136220032206,0.426717561914284,0.34294707587696,-0.211036435338868,1.14404719683111,0.671222770952665,0.717450153123725,0.605325849296906
"10",10,0.264302325581395,0.333017098731384,-0.0575675675675676,0.143811082534487,1.41616279069767,0.907198399085192,0.410110701107011,0.540945428696413,1.40347212816412,0.574577593318486,0.413500446062526,2.50890988171248,1.03728249611376,0.52282681043621,0.074707905808757,2.03367151901424,0.357373764093044,0.4303439240254,-0.558474142799656,1.20840334679593,-0.00782023151390685,0.410257451859157,-0.88186345513328,0.813919677435119,-0.589152684532159,0.473450355416422,-1.43613168524965,0.312365366345071,-0.824784427077332,0.466944959970832,-1.69171623160786,0.0229154494564361,0.563555049254728,0.371658118700427,-0.0448757552411082,1.30151716193144,0.3070397517426,0.343757521720806,-0.343072203335308,0.955065043861335,0.772868906248963,0.617057469716683,0.747783061186257
