"","D","E","F","G","H"
"1","0.496","1.353","1.114","2.029","1.279"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.977(0.479)","NaN(NA)","1.152(0.194)","1.529(0.449)","1.22(0.179)"
"5","0.505(0.322)","1.378(NA)","1.129(0.162)","2.036(0.308)","1.293(0.151)"
"6",NA,NA,"1.186(0.357)",NA,"1.23(0.32)"
"7",NA,NA,"1.123(0.351)",NA,"1.159(0.35)"
"8","0.437(0.715)",NA,"1.137(0.356)","2.035(0.664)","1.163(0.358)"
"9","0.47(0.725)",NA,"1.143(0.326)","2.035(0.685)","1.294(0.318)"
