"","D","E","F","G","H"
"1","0.025","0.839","0.736","1.537","0.986"
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","0.464(0.375)","0.834(0.593)","0.769(0.229)","1.139(0.36)","0.887(0.194)"
"5","0.033(0.272)","0.852(0.369)","0.745(0.186)","1.547(0.264)","1(0.162)"
"6",NA,NA,"0.791(0.381)",NA,"0.875(0.342)"
"7",NA,NA,"0.72(0.377)",NA,"0.767(0.378)"
"8","0.025(0.596)",NA,"0.743(0.389)","1.573(0.577)","0.869(0.365)"
"9","0.052(0.585)",NA,"0.75(0.357)","1.562(0.568)","0.954(0.332)"
