"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,-0.381181434599156,-0.581532857142857,0.832974910394265,0.886726695051517,1.5836231884058,0.966892857142857,1.20126477504633,0.632295684309651,0.38052193840461,1.87850813371579,1.24801397595838,0.505376867624617,0.528982762862835,1.75541947765636,0.997917329904732,0.608168947358359,0.333601398907687,1.51361162345809,0.90739385856618,0.50896247225593,0.231540956567372,1.49366878277084,-0.242577995393328,0.590018839806681,-0.842271420857695,0.484776498915052,-0.0943231909981488,0.601978822172141,-0.882664050985234,0.559038782487742,0.919693518080613,0.482543807202577,0.419270602207912,1.39468455474012,1.00583088957998,0.373479752822788,0.469486651995079,1.35323139644803,0.730109312697646,0.647977796720798,0.727589442454006
"2",2,0.00717054263565892,0.420967741935484,0.672654545454546,0.564148619508129,1.37007575757576,0.59830998097215,0.773049869277968,0.651105030586749,0.179700879145913,1.69424383580813,0.684296974350898,0.642818182395187,0.0332562027593983,1.58323279456091,0.547241952635397,0.261987885536764,0.250727006709075,0.888570814855008,0.647438329433246,0.251589187466367,0.415996031511843,1.0226633498997,0.333080978839885,0.412945254706369,-0.260648397209216,0.66426491329969,0.559588292067511,0.507186306118031,-0.027923668998473,1.13499294915699,0.543502778083307,0.30533252549013,0.28158106668413,0.99707887153327,0.64651458730085,0.266977776385088,0.288162555610653,0.924568083101648,0.701863770107615,0.655340904718671,0.693529439638146
"3",3,-0.0267338709677419,-0.662203389830508,1.04775862068966,0.8868753496233,1.10211618257261,0.723524658101948,2.19728749261833,0.82218139483477,1.09687599706752,3.12552337743344,2.01770463833335,0.94802800723301,0.870987241053706,3.0161941129297,0.893281657812199,0.543355690705151,0.322209085233908,1.51967876092509,0.838837525581035,0.389932264235737,0.392200335889644,1.29338991407865,-0.303150460435236,0.421116808749314,-0.821516728443556,0.207814726163991,-0.479353867787751,0.618252799723729,-1.20934058475583,0.272105254072588,1.14608732775203,0.50574705847408,0.644048284354398,1.87797030385534,1.12730432042944,0.403115285536575,0.874368573276208,1.74832733648547,0.664898394043221,0.696163762982901,0.636108050945805
"4",4,0.48136,0.244395407017769,0.583386809269162,0.740540674603175,1.72477443609023,1.62090836334534,2.1993748807476,0.558299265461783,1.66129506802985,2.82581870553407,2.03917424238047,0.497372558817752,1.53184012714617,2.54167923148825,0.910942364290305,0.703620828864933,0.0838370077262256,1.59657448797938,0.758966129201003,0.682712102598556,-0.0609256755541937,1.33310474576472,0.28677047421278,0.697721876738826,-0.692282628026687,0.93432974312038,0.160552850279238,0.600947423708134,-0.668380904128878,0.785822150910971,1.15641502559266,0.552844318087738,0.494568961594914,1.57381610693171,1.10116263915593,0.56954749036165,0.37495582045264,1.57636361863094,0.707187983683563,0.650540451848285,0.710735058452922
"5",5,0.201888412017167,0.0569738591050067,0.908817391304348,1.06675901952719,1.24520599250936,0.639780479567714,0.414623798822087,0.970935337095264,-0.619008232332231,1.69909351252144,0.3013898592006,0.870119047602116,-0.709584652715827,1.43074212084477,0.549745419982398,0.52780229177311,0.00728870016545769,1.31614903980423,0.516003743352586,0.60868138974834,-0.068203343643517,1.3906537431773,0.0953071994648078,0.319838179200615,-0.279419324512608,0.459798804845875,0.0284787692794106,0.337964704494752,-0.328163550258236,0.45119853913025,0.555239818298687,0.586323013626918,-0.144230123381968,1.3500434240703,0.486780571099052,0.559212785470121,-0.172992820193356,1.24345696518737,0.618009406440664,0.713197381315576,0.631861362727192
"6",6,-0.109277108433735,0.190888170652877,0.649021352313167,0.759749121798557,1.61089552238806,1.84415593220339,1.63315178705511,0.440478264798743,1.03863904398876,1.99356659618077,1.79240550559012,0.680258648609246,0.945747100238041,2.67271113426154,0.708545824231533,0.270485410670101,0.310803818041821,0.971191533838353,0.690799355030386,0.256012775359129,0.349586941117701,0.951578844527022,-0.00454700330164932,0.471318136670062,-0.421930654803478,0.660973514322525,0.0794629633714643,0.4927740855221,-0.414799244957102,0.611548336193362,0.860990952984729,0.231785667280459,0.52050839228061,1.08058664217481,0.981322812295835,0.308049408756715,0.713991861852621,1.39548403380832,0.627131866365506,0.690743565916645,0.664882017451647
"7",7,0.148065843621399,0.0273536585365852,0.559449378330373,0.70548708104968,1.8188,2.10170595731125,2.48605379372105,0.187340261515574,2.23372532689339,2.68929318663526,2.63345145255863,0.355082610583608,2.32356799678191,3.16888287775426,0.574521235844468,0.505778655620769,-0.122692484775094,1.09308368891377,0.806821072924635,0.41665814124782,0.217714030539865,1.25481532426717,0.412354902614213,1.20491171868525,-0.938773450148984,1.60876961923695,0.467622424314814,1.03648581168157,-0.789998666366975,1.68434131650442,1.06979024614089,0.340750852698002,0.624406845468808,1.47761247886743,1.30345381204928,0.284352026084931,0.948716771863077,1.66822587024539,0.700372236794412,0.658833648677301,0.666208252355592
"8",8,-0.18352380952381,-0.312922525503171,0.847956081081081,0.96706803652968,1.49479400749064,1.38203262092238,1.5420546790291,0.444860503373311,1.10977687176353,2.0626984718244,1.37338889472965,0.269708938540066,1.07985150632876,1.67000709407578,0.924989893722711,0.39703966090237,0.310496718431909,1.2201123973057,0.848821626897675,0.370222209246453,0.376245516177441,1.17689208559009,-0.382823143689019,0.54624869713684,-1.00697255794304,0.368669184484333,-0.405027554283285,0.497658287408605,-0.929742698196571,0.291761617776624,1.09309430942979,0.336097060556864,0.580528811470935,1.37664867535406,0.985646050683484,0.298810029101909,0.55903145015314,1.25634498781749,0.648733436766684,0.699229830323361,0.730411831590448
"9",9,0.219906976744186,-0.0708096393897364,0.725892857142857,0.944928668585708,1.31067729083665,1.70221328224777,2.03843133255982,0.681095148350016,0.966925568707781,2.41681508835098,2.03895322796015,0.649768005371741,1.04747457337603,2.57103606504604,0.949173353251474,0.281874367088793,0.593794166578034,1.30851275817046,0.902874797317757,0.173620386732634,0.709627760523088,1.10297002827006,0.0555415071299354,0.212088134471601,-0.246821746561154,0.281209221517638,-0.0375429205947366,0.287345866331941,-0.451273724823978,0.191799062228726,1.1630054349349,0.266138195912752,0.914742431217098,1.53071012800508,1.17385644035022,0.164354269158142,0.958257017306869,1.33167942490604,0.599754658183785,0.775088051170538,0.572968980048239
"10",10,-0.0625555555555556,-0.228735177865613,0.615840707964602,0.369987337646056,1.54704280155642,1.88864545454545,1.62960363589065,0.266028650429177,1.37886029163474,1.96308035558517,1.76729253988663,0.269438631532376,1.50846721129208,2.15900049054392,0.198701530699783,0.559886360023748,-0.561063958641878,0.81870033571651,0.252399689626429,0.487975142346747,-0.468402460791364,0.664712688623535,-0.524083237737311,0.403675445309739,-0.873238521148541,-0.023019569409655,-0.432334222615753,0.37091970289986,-0.84259617265534,0.033749767488529,0.388866622221562,0.387339713930655,-0.169523839761907,0.762580122897205,0.592225609251387,0.338847837819802,0.0910294736284563,0.875883750551258,0.687946018532304,0.68756812525893,0.685030169478879
